Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-06 20:14:57.559207,"(1.12, 5.1391)","(1191, 2755)","[16 13 19 19 16 17 20 19 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 18 11
 27 24 29 29 28 29 28 28 25 27 25 24 37 30 45 41 47 47 46 47 47 46 47 47
 47 47 46 46 43 44 40 42 35 38 31 33 27 27 25 26 23 24 21 22 19 20 17 18
 15 16 13 14 12 12 11 11]"
2024-09-06 20:15:13.964516,"(-30.0, 6.0)","(815, 2746)","[17 14 19 19 16 17 23 21 23 24 23 23 22 22 20 20 19 19 18 19 17 18 14 15
 12 13 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 14 11 22 17
 34 30 37 37 35 36 34 35 32 33 30 31 38 33 49 44 53 52 53 53 53 53 52 53
 49 51 44 47 40 42 35 37 28 33 26 27 23 24 20 21 17 18 15 16 14 15 12 13
 11 12 11 11 10 11 10 10]"
2024-09-06 20:15:30.168213,"(-58.88, 5.1391)","(414, 2755)","[16  8 19 19 18 18 22 21 22 22 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 19 16 23 21 25 24 23 24 21 22 22 21 30 26 35 34 36 36 36 36 38 37
 36 37 32 34 28 30 20 25 18 19 17 17 15 16 13 14 12 12 10 11  9 10  8  8
  7  7  8  7  9  9  9  9]"
2024-09-06 20:15:46.561918,"(-90, 6.0)","(10, 2751)","[16  6 19 19 20 19 23 22 22 23 22 22 21 22 18 19 17 18 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 19 18 21 18 34 25 48 42 51 50 49 51
 42 47 37 39 33 35 28 31 21 26 19 20 16 18 14 15 13 13 11 12 10 11  9 10
  9  9  9  9  9  9  9  9]"
2024-09-06 20:16:19.706539,"(61.12, -10.1391)","(1718, 2927)","[16  8 19 19 16 17 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 13 10 17 14 22 20 24 23 22 23
 20 20 28 22 43 35 50 48 50 51 47 49 42 45 39 40 38 38 39 39 38 39 36 37
 33 34 29 31 25 25 24 25 23 24 21 22 18 19 16 17 14 15 13 14 11 12 10 10
  9  9  9  9  9  9  9  9]"
2024-09-06 20:16:36.108508,"(30.0, -11.0)","(1442, 2933)","[20 19 20 21 16 18 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 20 14 25 23 23 24 24 22 26 25 32 28 48 42 53 52 52 53 48 50 45 46
 45 45 43 44 36 40 34 35 30 33 25 25 24 25 24 24 22 23 20 21 18 19 16 17
 15 15 13 14 13 13 13 13]"
2024-09-06 20:16:52.306105,"(1.12, -10.1391)","(1157, 2925)","[17 15 20 20 17 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 17 10 19 19 17 18 12 16 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 19 15 32 25 41 37 47 45 49 49 48 49 44 46 40 41 38 39 35 36 32 33
 29 30 29 29 31 30 32 31 31 31 29 30 24 24 23 24 21 22 20 20 18 19 18 18
 17 17 16 17 15 16 14 14]"
2024-09-06 20:17:08.699425,"(-30.0, -11.0)","(815, 2934)","[16  7 19 19 16 17 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 17 10 19 19 18 19 12 16 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 19 12 22 22 23 23 22 22 20 21 18 19 16 17 12 12 12 12
 23 12 34 29 37 36 36 37 31 34 26 28 17 24 17 17 15 16 13 14 11 12  9 10
  9  9  9  9  9  9  9  9]"
2024-09-06 20:17:24.898501,"(-58.88, -10.1391)","(413, 2927)","[16  9 19 19 16 17 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 10 10 18 16 19 19 16 17
 22 15 33 28 36 36 34 36 29 33 24 26 20 22 14 18 13 14 12 12 10 11  9  9
  7  8  8  7  9  9  9  9]"
2024-09-06 20:17:57.829783,"(90, 9.0)","(1995, 2722)","[16  5 19 19 17 18 18 18 20 19 22 22 21 22 18 20 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 12 11 21 15
 32 29 34 34 32 33 29 31 26 26 26 26 25 26 22 23 29 22 41 35 48 45 49 48
 48 48 44 46 40 42 34 37 27 30 22 23 19 21 17 18 14 15 12 13 11 11  9 10
  8  9  8  8  9  9  9  9]"
