Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-06 15:43:40.261040,"(0, 0)","(1144, 2807)","[18  5 19 19 18 19 18 18 21 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 17 16 12 17 13 12 26 15 41 34 48 45 49 49 47 48 45 46 44 45 44 44
 42 43 38 40 37 37 37 37 37 37 36 37 34 35 30 33 25 28 22 23 18 20 15 17
 15 15 15 15 15 15 15 15]"
2024-09-06 15:44:04.990098,"(90, 3.0)","(2000, 2783)","[18 11 19 19 18 19 18 18 20 19 22 22 21 22 19 20 17 19 16 16 14 15 13 13
 12 12 11 12 11 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 18 14 27 22 31 30 30 31 28 30 25 27 24 24 32 26 42 38 43 43 41 42
 41 41 41 41 39 40 35 37 30 33 27 28 22 23 20 21 18 19 16 17 13 14 12 13
 11 11 11 11 10 10 10 10]"
2024-09-06 15:44:25.454163,"(30.0, 3.0)","(1442, 2782)","[18 10 19 19 18 19 18 18 20 19 22 22 21 22 18 19 17 17 16 16 14 15 13 13
 13 12 14 13 13 13 12 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 23 20 26 25 25 26 25 25 24 24 26 25 35 30 43 40 44 45 40 42 47 44
 49 49 48 49 45 47 41 43 37 39 34 36 32 33 27 31 25 27 22 23 19 20 16 17
 14 14 13 13 12 13 11 12]"
2024-09-06 15:44:45.904895,"(-30.0, 3.0)","(812, 2781)","[18  7 19 19 18 19 18 18 20 19 22 22 22 22 21 21 20 21 18 19 17 18 17 17
 16 16 15 16 15 15 13 14 12 12 10 11 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 17  9 25 20 27 26 26 27 26 26 34 28 43 39 48 46 48 48 47 48 48 48 49 49
 48 48 46 47 42 44 40 41 38 39 36 37 29 34 28 29 27 28 27 27 34 32 33 34
 27 32 25 26 22 23 18 20]"
2024-09-06 15:45:06.376759,"(-90, 3.0)","(15, 2781)","[18 16 19 19 18 19 18 18 21 19 23 23 23 23 22 22 21 22 19 20 18 18 16 17
 15 15 14 14 13 13 12 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 13  9 15 15 20 17 35 28
 48 43 52 51 51 52 48 49 46 46 47 46 47 47 43 46 38 40 37 37 40 38 39 40
 37 38 34 36 28 32 26 27 24 25 22 23 20 21 18 19 16 17 14 15 13 13 12 12
 11 12 10 11  9 10  9  9]"
2024-09-06 15:45:35.157393,"(30.0, -8.0)","(1441, 2898)","[18 10 19 19 18 19 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 16 11
 17 17 19 17 21 20 20 21 24 19 31 27 33 33 33 33 33 32 33 34 31 32 34 32
 39 36 42 41 41 42 38 39 33 36 28 31 22 23 21 21 19 20 17 18 17 17 17 17
 17 17 16 16 13 15 11 12]"
2024-09-06 15:45:55.623393,"(-30.0, -8.0)","(812, 2898)","[18  8 19 19 18 19 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 15 11 20 18
 18 20 17 17 20 19 23 22 25 24 27 26 27 27 27 27 26 26 23 24 22 22 27 24
 31 31 29 31 27 28 25 26 23 24 18 18 17 18 15 16 13 14 11 12 10 10 10 10
 10 10  9  9  9  9  9  9]"
2024-09-06 15:46:24.902217,"(90, 6.0)","(2000, 2745)","[18 11 19 19 18 19 19 19 21 19 24 23 23 24 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 17  9 26 22 31 29 33 32 31 32 27 29 24 25 26 24 33 28 42 38 48 46 50 49
 48 49 44 47 39 42 32 34 28 30 23 24 20 21 17 18 15 16 13 14 11 12 10 11
 10 10  9  9  9  9  9  9]"
2024-09-06 15:46:42.120596,"(61.12, 5.1391)","(1722, 2750)","[18 15 19 19 19 19 23 22 21 21 25 22 24 25 20 22 18 18 17 17 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 20 18 24 22 28 27 26 28 23 24 22 22 28 23 38 33 47 42 52 49 52 52
 50 52 45 48 37 41 32 35 27 30 23 24 21 22 19 20 17 18 16 16 14 15 13 13
 12 12 11 11 10 11  9  9]"
2024-09-06 15:46:58.513895,"(30.0, 6.0)","(1442, 2743)","[18 10 19 19 22 20 22 23 21 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 12 11
 23 18 31 27 33 32 31 32 28 30 26 26 27 26 32 29 42 37 49 46 51 50 54 53
 53 54 51 52 44 48 36 40 30 32 25 26 22 24 20 21 18 19 16 17 14 15 12 13
 11 11 10 11  9 10  9  9]"
2024-09-06 15:47:14.714040,"(1.12, 5.1391)","(1189, 2750)","[19 16 20 21 22 21 23 24 22 22 23 22 23 23 20 21 19 19 17 18 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 13 11
 22 15 30 27 32 31 30 31 27 29 25 25 28 26 37 33 44 41 46 46 45 45 49 47
 52 52 50 51 45 48 39 42 33 36 28 31 24 25 21 22 20 21 18 19 14 16 12 13
 10 11  9  9  9  9  9  9]"
