Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-03 14:53:57.856192,"(0, 0)","(1174, 2814)","[17 13 19 20 16 18 18 18 20 19 22 22 23 23 22 22 20 21 18 19 16 17 15 16
 15 15 14 14 12 13 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 20 18 21 21 23 21 29 27 33 31 42 38 47 45 50 49 49 50 49 49 49 48
 51 50 51 51 48 49 44 46 39 42 35 37 29 29 27 28 24 25 21 22 18 19 16 17
 15 15 14 14 14 14 12 13]"
2024-09-03 14:54:22.562305,"(90, 3.0)","(1993, 5601)","[21 19 22 24 23 22 27 26 26 27 25 26 24 25 21 23 19 20 16 18 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 20 17 23 21 23 23 21 22 19 20 19 19 24 21 33 29 35 36 40 37 44 43
 42 44 40 41 39 39 36 38 31 33 26 29 22 23 19 21 17 18 15 16 13 14 11 12
 10 11  9 10  9  9 14  9]"
2024-09-03 14:54:43.519651,"(30.0, 3.0)","(1437, 2786)","[20 19 22 22 24 22 26 26 26 26 25 25 24 25 21 22 19 20 18 19 16 17 15 16
 14 15 12 13 11 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 17 13 29 23 33 32 34 34 32 33 30 31 38 33 47 43 51 50 52 52 52 52
 51 51 50 51 47 48 42 45 35 39 27 28 25 26 23 24 21 22 20 21 18 19 17 18
 15 16 14 15 13 13 12 13]"
2024-09-03 14:55:03.973863,"(-30.0, 3.0)","(818, 2786)","[20 21 19 20 24 21 26 26 25 25 25 25 23 24 19 21 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 11 23 20 25 25 23 24 27 24 38 32 51 45 56 55 57 57 56 56 55 56
 54 55 50 52 40 45 36 38 35 35 34 34 28 33 27 28 25 26 24 24 22 23 20 21
 18 19 15 17 14 15 13 13]"
2024-09-03 14:55:24.423111,"(-90, 3.0)","(11, 2786)","[18 10 20 20 24 22 26 26 26 26 25 25 24 25 20 22 17 18 17 17 15 16 14 14
 12 13 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 13 11
 21 15 29 26 29 29 28 29 26 27 24 25 23 24 24 22 36 29 49 43 53 52 52 53
 49 50 44 46 38 41 33 36 29 31 24 25 21 23 19 20 16 17 15 15 13 14 13 13
 12 13 12 12 11 12 10 11]"
2024-09-03 14:55:53.176967,"(30.0, -8.0)","(1435, 2902)","[17 10 19 20 17 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 15 15 19 16 23 21 23 23 28 23 36 32 40 38 41 40 41 42 39 40 38 38 38 38
 39 40 38 39 34 36 29 32 23 27 22 22 20 21 19 20 24 19 26 26 26 26 25 25
 20 24 19 20 18 19 16 17]"
2024-09-03 14:56:13.628207,"(-30.0, -8.0)","(817, 2901)","[17 14 20 20 17 18 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 17 16 16 17 14 15 10  9 16 11 18 18
 17 18 17 17 19 18 13 18 22 15 34 28 39 37 39 39 37 38 34 35 32 33 34 32
 37 37 36 37 31 34 28 29 22 26 20 21 18 19 16 17 15 16 14 14 13 13 12 13
 11 12 10 11  9 10  9  9]"
2024-09-03 14:56:42.575006,"(90, 6.0)","(1993, 5601)","[19 20 20 20 24 22 25 25 24 24 24 24 24 24 22 23 20 21 18 19 15 17 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 23 17 27 26 26 27 26 26 25 25 25 24 37 27 52 46 55 55 54 55
 51 52 48 49 45 46 41 43 37 39 32 34 26 27 23 24 20 22 18 19 16 17 15 16
 14 14 13 13 12 12 11 11]"
2024-09-03 14:56:59.275086,"(61.12, 5.1391)","(1713, 2755)","[18 14 20 20 23 21 25 24 24 25 24 24 24 24 23 23 21 22 20 21 18 19 15 17
 13 14 12 13 10 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 15 15 11 15 11 11
 10 10 18 15 22 21 21 22 19 20 19 19 21 20 21 21 31 22 45 39 50 48 50 50
 49 50 48 49 45 46 41 43 36 39 31 34 25 25 22 23 19 20 17 18 14 15 12 13
 11 11 11 11 11 11 11 11]"
2024-09-03 14:57:16.689410,"(30.0, 6.0)","(1437, 2747)","[18 12 20 20 18 19 19 18 22 21 25 24 25 25 22 24 20 20 18 19 16 17 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 13 18 17 17 18 14 16 13 14 16 13 25 20 39 30 51 46 53 52 52 53
 50 52 45 48 42 43 39 41 36 38 31 34 25 29 23 24 20 21 17 18 14 15 11 13
  9 10  9  9 14  9 14 14]"
2024-09-03 14:57:32.880478,"(1.12, 5.1391)","(1185, 2756)","[18 14 20 20 18 18 21 20 22 21 25 23 25 25 22 24 19 21 17 18 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 15 11 22 19 27 25 26 27 24 25 25 24 33 27 39 37 40 39 50 46
 53 53 51 52 47 49 43 45 38 41 32 35 25 29 23 24 21 22 19 20 17 18 15 16
 13 14 12 13 11 11 10 11]"
