Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-03 16:51:01.114951,"(0, 0)","(1180, 2831)","[17 12 19 20 15 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 14 12 19 17 18 18 24 16 37 31 43 40 45 44 44 45 44 44 44 44 44 44
 42 43 38 40 37 38 38 38 37 38 36 37 34 35 30 32 25 29 24 24 21 22 19 20
 17 18 15 16 14 15 13 14]"
2024-09-03 16:51:25.838121,"(90, 3.0)","(1999, 5601)","[17 10 19 20 16 17 15 14 20 19 22 22 23 22 23 23 22 23 21 22 19 20 16 17
 15 15 14 15 13 14 13 13 12 12 11 11 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 13  9 15 14 12 14 13 12 14 15 13 14 16 13 20 18 30 23 39 35 42 41 40 41
 42 40 43 43 41 42 35 38 29 32 23 26 19 20 18 18 16 17 14 15 12 13 11 11
 10 10  9  9  9  9  9  9]"
2024-09-03 16:51:46.796073,"(30.0, 3.0)","(1444, 2802)","[17  2 19 20 16 17 16 15 20 19 22 22 21 22 19 20 18 19 17 18 16 17 16 16
 15 15 15 15 15 15 14 15 12 13 10 11 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 20 15 28 25 32 30 31 32 29 31 27 28 36 31 45 42 48 47 46 47 47 46
 50 50 50 50 47 48 42 45 37 40 34 35 28 33 28 28 26 27 23 25 20 22 18 19
 17 18 16 16 15 15 13 14]"
2024-09-03 16:52:07.252404,"(-30.0, 3.0)","(820, 2801)","[17  4 19 19 20 19 22 21 22 22 22 22 21 22 17 19 16 17 16 16 14 15 14 14
 14 14 12 13 11 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 23 19 26 25 26 26 25 26 31 26 42 37 48 45 49 49 49 49 51 50 50 51
 49 50 46 48 40 43 35 38 31 33 27 27 26 26 25 25 24 24 22 23 21 22 19 20
 17 18 15 16 13 14 12 13]"
2024-09-03 16:52:27.717305,"(-90, 3.0)","(15, 2802)","[17  9 19 19 16 17 18 18 20 19 22 22 22 22 20 21 19 20 18 19 17 17 15 16
 14 15 12 13 11 12 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 17 15 20 19 19 20 18 19 18 18 20 17 34 25 47 42 49 48 47 49
 42 44 39 40 35 37 29 32 24 26 19 20 17 18 15 16 13 14 12 12 10 11  9 10
  9  9  8  8  9  9  9  9]"
2024-09-03 16:52:56.496805,"(30.0, -8.0)","(1443, 2919)","[17  9 19 19 16 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 16 15 19 18 19 19 25 19 33 30 37 35 40 38 40 40 38 39 37 38 39 38
 42 41 43 43 41 42 37 40 33 35 29 31 24 28 22 23 21 21 19 20 19 19 19 19
 19 19 17 18 14 15 13 14]"
2024-09-03 16:53:16.948187,"(-30.0, -8.0)","(820, 2917)","[17 13 19 20 16 17 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 19 16 23 22
 22 23 20 21 21 20 23 22 27 25 28 28 27 27 27 27 26 26 24 25 23 24 27 24
 33 32 32 33 28 30 24 26 18 22 17 18 15 16 13 14 12 12 11 11 10 10 10 10
  9 10  9  9  9  9  9  9]"
2024-09-03 16:53:45.715098,"(90, 6.0)","(1999, 5601)","[19 10 21 22 21 21 25 24 24 24 26 24 25 25 21 23 18 18 18 18 16 17 14 15
 13 14 11 12 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 15 13 22 18 32 27 44 37 50 48 50 50
 48 49 44 46 39 42 33 36 28 30 22 22 20 21 18 19 15 16 13 14 11 12 10 11
 10 10 10 10 10 10  9 10]"
2024-09-03 16:54:02.416371,"(61.12, 5.1391)","(1720, 2775)","[19 20 19 20 19 19 25 23 23 24 23 23 21 22 18 20 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 14 10 14 14 13 14 11 11 10 11
  9  9 17 13 22 20 23 22 24 25 24 24 24 24 27 24 39 33 49 44 54 52 53 54
 51 52 48 50 45 47 40 43 32 36 25 26 22 24 19 20 16 17 14 15 13 14 13 13
 13 13 12 13 11 12 10 11]"
2024-09-03 16:54:18.812609,"(30.0, 6.0)","(1444, 2768)","[22 24 22 23 22 22 22 22 21 21 24 22 22 23 18 20 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 20 18 26 23 31 29 32 33 31 32 28 29 34 30 45 41 53 49 56 54 56 56
 55 55 52 54 47 50 37 42 30 34 25 26 22 23 21 21 19 20 18 19 17 17 15 16
 14 15 12 13 10 11 10 10]"
2024-09-03 16:54:35.013909,"(1.12, 5.1391)","(1185, 2774)","[20 23 19 20 26 22 26 26 24 25 25 24 24 25 21 22 20 20 19 19 17 18 15 16
 13 14 12 13 11 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 12  9 19 15 25 22 31 29 33 34 32 33 32 32 38 35 45 42 51 48 54 53 53 54
 53 53 51 52 46 49 40 43 33 36 26 28 23 25 21 22 20 20 19 19 17 18 16 16
 14 15 12 13 11 11 11 11]"
