Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-03 13:18:12.756497,"(1.12, 5.1391)","(1201, 2792)","[18 17 19 19 25 22 27 27 25 26 24 24 21 23 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 26 20 35 31 38 37 39 39 37 38 37 37 41 39 46 45 50 48 54 53 54 54
 53 53 51 52 47 49 43 45 36 40 29 30 26 28 24 25 22 23 21 22 19 20 17 18
 15 16 13 13 12 13 12 12]"
2024-09-03 13:18:29.151617,"(-30.0, 6.0)","(843, 2784)","[21 22 21 21 24 22 25 25 24 24 23 23 22 23 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 20 16 25 23 25 26 25 25 38 31 51 45 56 55 57 57 57 57 56 57
 54 56 51 53 45 48 39 41 37 38 35 36 29 34 27 28 24 26 21 22 20 20 19 19
 18 18 17 17 16 16 15 15]"
2024-09-03 13:18:45.335611,"(-58.88, 5.1391)","(438, 2790)","[20 20 20 21 22 21 26 25 25 25 24 24 23 24 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 14 14 17 15 18 18 14 18 20 18 30 25 40 36 47 45 47 47 46 46 46 46
 44 45 41 43 38 40 36 37 35 35 34 34 31 32 25 29 24 24 22 23 20 21 18 19
 15 17 13 14 12 12 11 11]"
2024-09-03 13:19:01.724872,"(-90, 6.0)","(16, 2788)","[17 16 18 18 24 21 27 26 26 26 25 25 24 25 20 22 17 18 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 18 10 23 21 22 23 21 21 20 21 19 19 19 19 23 19 38 30 50 44 54 52 52 53
 48 50 44 46 39 41 34 36 31 33 24 25 22 23 20 21 18 19 16 17 14 15 13 13
 12 12 11 11 10 11 10 10]"
2024-09-03 13:19:34.828173,"(61.12, -10.1391)","(1708, 5601)","[16 11 18 19 17 17 16 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 11 10 18 14 22 20 22 23 20 21
 20 20 23 21 43 33 49 47 49 50 46 48 42 44 39 40 38 38 38 38 37 37 34 35
 33 33 35 34 34 35 25 31 25 25 24 25 22 23 20 21 18 19 16 17 14 15 12 13
 11 11 11 11 11 11 11 11]"
2024-09-03 13:19:51.735864,"(30.0, -11.0)","(1440, 2966)","[21 21 22 22 20 21 17 17 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 17 15 28 21 33 31 31 32 30 30 29 29 43 35 55 50 59 58 59 59 58 58 55 57
 51 54 47 49 42 44 39 41 35 37 30 30 29 30 26 28 23 25 21 22 20 20 19 20
 17 19 16 17 19 16 22 21]"
2024-09-03 13:20:07.926750,"(1.12, -10.1391)","(1200, 2955)","[16 14 18 19 17 17 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 17 14 23 19 43 34 53 50 55 55 53 54 48 51 43 45 40 42 38 39 36 37
 36 36 35 35 34 34 33 33 32 32 30 31 26 26 23 25 21 22 18 20 17 17 16 16
 15 16 14 15 13 14 16 13]"
2024-09-03 13:20:24.310143,"(-30.0, -11.0)","(843, 2965)","[17 12 18 19 17 18 16 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 17 16 16 17 12 16 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 20 15 24 23 24 25 21 22 19 20 18 18 16 17 12 12 12 12 16 12
 26 18 36 32 38 37 36 37 31 34 26 28 18 24 17 18 16 17 14 15 12 13 11 12
 10 11  9 10  9  9  9  9]"
2024-09-03 13:20:40.498543,"(-58.88, -10.1391)","(438, 2955)","[16 13 18 19 17 17 16 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 16 10 18 17 17 17 17 16
 24 19 29 27 29 29 26 28 22 24 18 20 14 14 13 13 11 12 11 11 11 11 11 11
 10 10 10 10  9  9  9  9]"
2024-09-03 13:21:13.400335,"(90, 9.0)","(1994, 5601)","[18 18 18 19 23 20 25 24 24 25 26 25 26 26 25 26 24 25 23 23 21 22 18 20
 15 16 12 13 11 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 13 22 19 22 22 22 21 21 22 20 20 22 20 36 25 50 44 53 52 50 52
 44 46 41 43 39 40 36 38 33 35 30 31 24 25 22 23 20 21 19 20 16 17 14 15
 12 13 11 11 10 10  9 10]"
