Measure Time,Commanded trajectory,Real trajectory,Curve,az LS,2893,el LS,2396
2024-09-11 18:52:56.304227,"(1.12, 5.1391)","(1732, 2822)","[18 12 18 19 24 21 25 25 22 23 22 22 22 22 19 21 17 17 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 22 18 23 22 30 24 41 37 43 43 47 45 50 49
 48 50 46 47 42 44 37 39 35 35 33 34 25 31 24 25 22 23 19 20 17 18 15 16
 14 15 12 13 11 11 10 10]",,,,
2024-09-11 18:53:12.709037,"(-30.0, 6.0)","(1505, 2814)","[19 19 18 19 24 21 24 25 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 19 15 22 20 35 27 50 44 56 55 56 56 54 55 52 53
 49 50 45 47 39 42 36 38 31 34 26 26 25 26 23 24 20 22 18 19 17 18 15 16
 13 14 11 12 10 11  9  9]",,,,
2024-09-11 18:53:28.910350,"(-58.88, 5.1391)","(1260, 2822)","[19 22 18 19 24 21 24 25 21 20 24 22 23 23 19 21 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 13  9 16 15 12 16 13 12 14 15 27 21 41 34 54 49 59 58 58 59 56 57 52 54
 47 50 43 44 40 41 35 38 26 31 25 26 22 23 19 21 17 18 16 16 16 16 14 15
 12 13 10 11  9 10  9  9]",,,,
2024-09-11 18:53:45.322404,"(-90, 6.0)","(917, 2813)","[20 17 23 23 24 23 24 25 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 22 17 25 23 38 32 48 44 55 52 55 55 52 54
 49 50 44 47 39 42 33 36 28 30 22 24 20 21 17 18 15 16 13 14 12 12 12 12
 11 11 10 10  9 10  9  9]",,,,
2024-09-11 18:54:18.474744,"(61.12, -10.1391)","(2415, 2984)","[18  8 18 19 24 21 23 25 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 13  9 16 16 11 16 14 11
 21 16 34 27 44 39 46 46 44 46 40 43 33 37 28 30 29 28 28 29 25 27 19 24
 19 19 26 24 26 27 20 24 18 19 17 17 16 17 15 16 14 14 12 13 11 12 11 11
 10 10 10 10  9 10  9  9]",,,,
2024-09-11 18:54:34.878193,"(30.0, -11.0)","(2012, 2992)","[18  9 18 19 24 21 23 25 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 17 11
 25 23 26 27 25 26 25 25 29 26 34 32 37 36 36 37 39 36 43 41 43 44 41 42
 39 39 36 37 34 35 31 33 27 29 23 23 21 22 20 20 19 19 18 18 18 18 17 17
 17 17 17 17 15 16 15 15]",,,,
2024-09-11 18:54:51.077060,"(1.12, -10.1391)","(1733, 2986)","[18  6 18 19 24 21 23 25 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 20 13 30 26 34 33 33 34 32 32 36 34 36 36 34 36 30 32 31 30 36 34
 35 35 34 34 33 33 32 33 29 30 26 27 21 22 19 20 18 18 18 18 17 18 17 17
 17 17 17 17 17 17 16 16]",,,,
2024-09-11 18:55:07.492697,"(-30.0, -11.0)","(1505, 2997)","[18 12 18 19 24 21 23 25 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 13  9 25 19 32 29 33 33
 31 32 30 30 41 35 43 43 42 43 41 41 38 40 37 37 37 37 37 37 36 37 35 36
 33 34 31 32 30 31 25 30 24 25 21 22 17 19 15 16 14 14 14 14 14 14 14 14
 14 14 14 14 13 13 15 13]",,,,
2024-09-11 18:55:23.685807,"(-58.88, -10.1391)","(1259, 2986)","[18  5 18 19 24 21 23 25 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 14 11 23 17 33 29 36 35 35 35 34 34 39 35 41 41 39 40 35 36
 34 34 34 34 32 33 28 30 24 26 19 20 16 18 14 15 12 13 11 11  9 10  8  9
  7  8  8  7  9  9  9  9]",,,,
2024-09-11 18:55:57.124952,"(90, 9.0)","(2832, 2785)","[18 15 18 19 24 21 23 25 21 21 22 22 21 22 18 19 17 17 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 11 10 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 17 13 24 19 40 31 52 47 55 54 54 55
 52 53 49 50 44 47 37 41 29 32 23 24 21 22 19 20 17 18 14 15 12 13 10 11
  8  9  8  8  9  9  9  9]",,,,
