Measure Time,Commanded trajectory,Real trajectory,Curve,az LS,2893,el LS,2396
2024-09-11 19:01:23.004990,"(76.7, 10.7894)","(2646, 2755)","[26 27 25 26 22 24 24 23 23 24 23 22 24 24 24 24 24 24 23 24 23 23 21 22
 20 20 18 19 16 17 14 15 12 13 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 18 17 17 17
 16 16 17 17 23 20 32 28 38 36 41 39 46 44 47 47 54 48 64 60 65 65 62 64
 56 58 50 54 47 48 43 45 38 40 35 37 30 31 27 29 24 26 21 23 17 19 15 16
 13 14 12 12 11 11 10 11]",,,,
2024-09-11 19:01:37.372498,"(61.12, 10.2782)","(2414, 2761)","[27 27 26 27 22 24 24 23 23 25 25 23 27 26 25 25 26 26 25 25 24 25 23 23
 22 22 20 21 18 19 16 17 14 15 12 13 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 17 16 18 17
 18 18 21 19 22 21 30 26 36 35 40 38 44 42 46 45 53 47 62 58 63 63 60 62
 55 57 49 53 45 47 41 43 37 39 31 31 29 30 26 28 23 24 20 21 17 18 15 16
 13 14 12 13 11 11 10 11]",,,,
2024-09-11 19:01:51.742110,"(45.21, 10.5686)","(2197, 2757)","[26 26 26 27 22 24 24 23 22 24 24 22 25 25 24 24 25 25 24 24 24 24 22 23
 21 22 20 21 18 19 16 16 14 15 13 14 12 13 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 16 16 17 16 23 20 30 27 36 34 40 38 44 42 46 45 53 47 62 58 63 63 59 62
 54 56 48 52 44 45 40 41 36 38 30 31 28 29 25 27 21 23 18 19 16 17 14 15
 13 13 12 13 11 12 11 11]",,,,
2024-09-11 19:02:05.903475,"(30.0, 12.0)","(2013, 2743)","[19 19 19 20 22 20 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 19 15 30 25 33 32 37 34 50 41 62 58 65 64 62 64
 58 61 52 55 46 49 40 43 34 37 27 28 25 26 22 23 19 20 16 17 14 15 12 13
 10 11  9 10  9  9  9  9]",,,,
2024-09-11 19:02:19.867966,"(16.7, 10.7894)","(1875, 2753)","[18 15 19 20 22 20 23 23 22 21 22 22 22 22 21 22 21 21 21 21 19 20 18 19
 17 17 15 16 13 14 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 20 16 27 24 32 30 37 35 41 39 43 42 51 44 61 57 63 62 60 62
 55 57 48 52 43 45 39 41 35 37 29 29 27 28 24 26 21 23 17 19 14 16 12 13
 10 11  9 10  9  9  9  9]",,,,
2024-09-11 19:02:34.244272,"(1.12, 10.2783)","(1734, 2759)","[23 22 25 25 22 23 24 23 23 24 24 23 25 24 25 25 25 25 25 25 24 24 22 23
 21 22 20 21 18 19 16 17 14 15 12 13 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 16 11
 16 16 16 16 19 17 29 24 34 32 37 35 42 40 44 43 50 45 59 55 60 60 57 59
 53 55 46 50 42 44 38 40 35 37 29 29 28 29 26 27 23 24 21 22 18 19 16 17
 14 15 12 13 11 12 10 11]",,,,
2024-09-11 19:02:48.616121,"(-14.79, 10.5686)","(1628, 2756)","[20 13 22 23 22 22 23 23 23 23 23 23 23 23 23 23 24 23 24 24 23 23 21 22
 20 21 19 20 17 18 15 16 14 15 12 13 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 15 15 17 15 22 19 28 25 33 31 37 35 41 39 43 42 50 44 59 55 60 60 57 59
 53 55 49 51 44 46 39 42 35 37 29 29 27 28 24 25 21 22 17 19 14 16 12 13
 11 11 10 10 10 10 10 10]",,,,
2024-09-11 19:03:02.781041,"(-30.0, 12.0)","(1506, 2740)","[18  9 19 20 22 20 24 24 23 24 22 22 22 23 21 22 20 20 19 19 18 19 16 17
 12 14 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 16 11 19 18 22 20 28 25 29 29 32 29 46 37 59 54 61 60 59 60
 55 57 50 52 44 47 37 40 32 35 26 27 23 24 19 21 16 18 14 15 12 13 11 11
  9 10  9  9  9  9  9  9]",,,,
2024-09-11 19:03:16.749453,"(-43.3, 10.7894)","(1398, 2752)","[18 10 19 20 22 20 23 23 24 23 24 24 24 24 23 23 23 23 22 22 21 22 20 21
 18 19 17 17 14 16 12 13 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 14 16 15 24 21 30 27 34 32 38 36 40 39 48 41 57 53 59 58 56 58
 53 55 49 51 45 47 41 43 36 38 32 34 27 28 24 25 20 22 17 19 15 16 13 14
 12 13 11 11 10 10  9 10]",,,,
2024-09-11 19:03:31.127052,"(-58.88, 10.2782)","(1260, 2759)","[22 16 25 25 22 23 24 23 24 26 24 24 25 25 26 25 28 28 27 27 27 27 25 26
 24 25 23 23 21 22 19 20 18 18 15 16 12 14 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 15 11 17 16
 16 17 18 16 22 20 28 24 33 32 37 35 41 39 43 42 50 44 57 54 59 58 56 58
 54 55 50 52 45 47 40 42 36 38 33 35 29 30 27 29 25 26 22 23 19 20 16 17
 13 14 11 12 10 11  9  9]",,,,
2024-09-11 19:03:45.509929,"(-74.79, 10.5686)","(1101, 2755)","[21  7 24 24 22 23 24 23 25 25 24 24 24 24 25 24 26 26 26 26 26 26 25 25
 24 24 22 23 21 22 19 20 17 18 14 15 12 13 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 15 15 18 16 21 19 28 25 33 31 36 34 40 38 42 41 48 43 56 53 58 57 56 57
 54 55 50 52 45 47 40 42 36 38 33 35 29 30 27 28 25 26 22 23 20 21 18 19
 16 17 14 15 12 13 10 11]",,,,
2024-09-11 19:03:59.679171,"(-90, 12.0)","(915, 2741)","[18  8 19 20 22 20 23 23 21 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 12 12 10 11 11 11 10 11 11 10 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 18 14 21 20 22 21 33 23 46 41 50 49 48 49
 44 45 41 42 38 39 32 35 26 29 20 21 19 20 17 18 15 16 13 14 12 12 11 11
 11 11 10 11 10 10  9 10]",,,,
2024-09-11 19:04:35.067844,"(76.7, -15.7894)","(2645, 3036)","[18 12 19 20 22 20 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 11 11 11 10 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 16 16 12 16 19 12 23 21 22 23 24 21 35 29 41 39 39 40 34 37
 27 30 22 24 16 17 16 16 15 15 14 14 12 13 11 12 11 11 17 15 21 19 21 21
 22 21 21 22 22 21 26 24 29 27 32 30 31 32 29 30 23 26 17 18 15 16 13 14
 11 12  9 10  9  9  9  9]",,,,
2024-09-11 19:04:49.441321,"(61.12, -15.2782)","(2414, 3031)","[18  7 19 20 22 20 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 18 15 20 19 26 23 32 29 38 35 40 39 38 39
 33 36 26 29 28 26 35 32 35 35 32 34 28 30 27 27 30 27 32 31 30 31 26 28
 21 24 19 20 17 18 22 17 27 26 27 27 28 27 27 27 24 25 19 19 19 19 17 18
 15 16 12 13 10 11  9  9]",,,,
2024-09-11 19:05:03.812319,"(45.21, -15.5686)","(2197, 3035)","[18 10 19 20 22 20 21 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 14 10 19 15 29 23 34 32 34 35
 33 34 30 32 32 31 31 32 31 31 30 30 28 29 27 28 26 26 25 25 25 25 24 25
 24 24 25 25 20 25 19 19 18 18 17 17 16 16 15 15 15 15 15 15 13 14 12 13
 11 11 10 10 10 10 10 10]",,,,
2024-09-11 19:05:18.482642,"(30.0, -17.0)","(2013, 3051)","[18 11 19 20 22 20 21 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 13 11
 17 15 20 18 25 22 27 26 27 27 28 27 30 29 30 30 35 32 38 38 38 38 36 37
 33 34 32 32 31 32 28 30 21 25 20 21 18 19 15 16 13 14 12 13 11 12 10 11
 10 10  9  9  9  9  9  9]",,,,
2024-09-11 19:05:33.461942,"(16.7, -15.7894)","(1875, 3037)","[18  9 19 20 22 20 21 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 26 20 35 31 41 39 42 42 40 41 38 39
 37 38 34 36 33 33 32 33 29 31 27 28 27 27 26 26 21 25 21 21 19 20 18 19
 16 17 14 15 13 13 12 13]",,,,
2024-09-11 19:05:47.829480,"(1.12, -15.2783)","(1736, 3033)","[18  9 19 20 22 20 21 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 18 16 17 18 12 16 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 25 19 32 29 37 35 37 37 37 36 40 38 41 40 42 42 41 42 39 40 38 39
 35 37 31 33 31 31 33 33 33 33 31 32 30 31 25 29 25 25 25 25 24 24 22 23
 20 21 18 19 16 17 15 15]",,,,
2024-09-11 19:06:02.200016,"(-14.79, -15.5686)","(1628, 3036)","[18  9 19 20 22 20 21 22 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 18 16 18 18 12 16 12 12 11 11 10 10 12 10 23 17 29 27 28 29 25 27
 23 23 30 24 39 35 43 41 44 43 44 44 41 42 37 39 34 35 31 32 27 29 22 25
 21 21 20 20 21 19 32 28 34 35 34 34 35 35 34 35 31 34 27 29 23 23 22 23
 21 22 20 21 18 19 16 17]",,,,
2024-09-11 19:06:16.376459,"(-30.0, -17.0)","(1506, 3049)","[18  8 19 20 22 20 21 22 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 21 13 37 31 44 42 44 45 40 42
 33 36 30 31 34 32 37 36 37 37 35 36 32 34 30 31 28 29 26 27 22 22 21 22
 21 21 20 21 25 20 31 28 34 33 34 34 32 33 30 31 23 28 21 22 18 19 15 17
 13 14 12 12 10 11  9 10]",,,,
2024-09-11 19:06:31.358198,"(-43.3, -15.7894)","(1398, 3036)","[18  8 19 20 22 20 21 22 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 16 13 21 19 20 21 18 20 13 14 12 13 11 11 10 10 10 10 10 10 10 10
 10 10 19 14 31 25 35 34 34 35 31 33 26 28 21 23 15 19 14 15 12 13 11 11
  9 10  9  9  9  9  9  9]",,,,
2024-09-11 19:06:45.721830,"(-58.88, -15.2782)","(1259, 3032)","[18  5 19 20 22 20 21 22 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 20 19 18 19 16 17 15 16 17 16 17 17
 17 16 25 20 30 28 31 31 28 30 22 25 14 19 13 14 11 12 10 11  9  9  8  8
  7  7  8  7  9  9  9  9]",,,,
2024-09-11 19:07:00.587655,"(-74.79, -15.5686)","(1101, 3034)","[18  7 19 20 22 20 21 22 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 10 10 10 10  9 10  9  9
 17 10 25 21 31 29 31 32 28 30 21 25 13 19 12 13 11 12 10 11  9  9  8  8
  8  8  8  8  9  9  9  9]",,,,
2024-09-11 19:07:35.741354,"(90, 15.0)","(2833, 2709)","[18 15 19 20 23 21 25 25 22 24 22 22 21 22 18 19 18 17 18 18 15 17 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 14 13 12 15 13 12 14 15 25 20 26 26 33 29 46 37 58 53 60 60 57 59
 51 54 46 49 41 43 36 38 30 33 24 26 22 23 19 20 17 18 15 16 13 14 12 12
 11 11  9 10  9  9  9  9]",,,,
2024-09-11 19:07:49.300203,"(79.58, 13.7263)","(2688, 2723)","[20 21 19 20 22 20 27 25 25 26 24 24 23 23 22 23 21 22 19 20 17 18 14 15
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 19 16 20 20 20 20 30 23 32 32 37 33 52 44 63 59 66 65 64 65
 59 62 54 57 48 51 40 44 33 36 28 29 26 27 23 24 20 22 17 19 15 16 13 14
 12 13 11 12 10 11  9 10]",,,,
2024-09-11 19:08:03.065773,"(67.53, 12.9862)","(2509, 2727)","[22 24 21 21 24 22 28 27 27 27 26 26 26 26 25 25 23 24 21 22 19 20 16 17
 13 14 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 17 17 22 19 26 25 26 27 31 27 32 32 37 32 53 45 65 60 67 67 65 67
 61 64 56 59 52 54 44 48 37 40 30 31 28 29 24 26 21 23 18 20 16 17 15 15
 14 14 13 13 12 12 11 11]",,,,
2024-09-11 19:08:17.030008,"(54.66, 12.8723)","(2324, 2728)","[21 23 20 20 23 21 27 26 27 27 26 27 26 26 25 26 24 25 22 23 20 21 17 19
 14 16 11 13 10 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 15 15 16 16 23 19 27 25 27 28 30 27 31 30 36 31 53 44 65 60 67 66 65 66
 61 63 56 58 51 54 45 48 38 41 33 35 28 30 25 27 22 24 19 20 17 18 14 15
 13 13 13 13 13 13 12 12]",,,,
2024-09-11 19:08:31.800366,"(42.19, 13.4003)","(2157, 2724)","[22 24 20 21 22 21 26 25 25 26 24 25 24 24 23 23 21 22 20 21 18 19 15 16
 12 14 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 20 16 23 22 22 23 28 23 29 29 35 30 51 43 62 58 64 64 63 64
 59 61 55 57 49 52 42 46 35 38 29 29 26 27 22 24 19 21 17 18 15 16 14 15
 12 13 11 12 10 10  9  9]",,,,
2024-09-11 19:08:45.554864,"(30.0, 15.0)","(2013, 2710)","[20 18 22 22 22 22 25 25 24 24 24 23 23 24 21 22 19 19 18 19 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 18 15 24 21 25 25 29 27 40 31 52 48 55 54 53 54
 50 52 46 48 41 43 35 38 29 32 23 24 21 22 18 19 16 17 14 15 13 14 12 12
 11 12 11 11 11 11 11 11]",,,,
2024-09-11 19:08:59.113659,"(19.58, 13.7263)","(1903, 2720)","[18 14 20 20 22 21 23 23 22 22 22 22 21 22 17 19 17 17 17 17 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 15 13 22 17 34 28 42 39 43 43 47 45
 49 49 48 49 44 46 38 41 31 34 25 28 20 21 17 18 15 16 13 14 11 12 10 10
  9  9  8  8  9  9  9  9]",,,,
2024-09-11 19:09:12.872920,"(7.53, 12.9863)","(1790, 2723)","[18  5 19 20 23 21 27 26 25 26 23 24 22 22 21 22 20 21 17 19 15 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 22 16 24 23 29 25 43 35 55 50 57 56 55 56
 51 53 47 49 41 44 34 37 29 31 23 24 20 21 17 19 15 16 12 14 10 11 10 10
  9 10  9  9  9  9  9  9]",,,,
2024-09-11 19:09:26.842735,"(-5.34, 12.8722)","(1701, 2726)","[18  5 19 20 23 21 27 26 26 27 24 25 24 23 23 24 21 23 17 19 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 24 18 27 26 31 27 46 37 58 53 61 60 59 60
 54 57 46 50 41 44 36 39 30 33 25 26 23 24 19 21 17 18 14 15 12 13 11 11
 10 10  9  9  9  9  9  9]",,,,
2024-09-11 19:09:41.622618,"(-17.81, 13.4003)","(1604, 2722)","[18 10 19 20 22 21 25 24 22 24 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 24 17 26 26 31 28 46 37 58 53 60 60 58 60
 51 55 42 47 34 38 29 32 23 26 20 21 17 19 15 16 14 14 12 13 11 12 10 10
 10 10  9  9  9  9  9  9]",,,,
2024-09-11 19:09:55.386820,"(-30.0, 15.0)","(1506, 2706)","[18  7 19 20 22 21 26 25 24 25 23 24 22 23 21 22 20 20 19 19 14 17 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 21 17 22 22 26 23 38 30 51 46 53 52 51 52
 47 49 44 45 38 41 34 36 29 31 23 24 21 22 18 19 15 16 14 14 12 13 11 11
 10 10 10 10 10 10  9 10]",,,,
2024-09-11 19:10:08.950696,"(-40.42, 13.7262)","(1421, 2718)","[18 11 19 20 22 21 23 23 21 21 22 22 21 22 18 20 18 17 18 18 15 16 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 22 17 22 22 26 23 40 31 53 48 56 55 54 55
 51 53 46 48 40 43 33 36 27 30 22 23 19 21 17 18 14 15 11 13 10 11  9  9
  8  8  8  8  9  9  9  9]",,,,
2024-09-11 19:10:22.709465,"(-52.47, 12.9863)","(1318, 2722)","[19 17 19 20 22 21 24 24 22 24 22 22 21 22 19 20 17 18 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 18 18 24 19 39 31 51 46 54 53 53 54
 50 52 47 49 43 45 37 40 32 34 27 29 22 23 19 21 16 18 14 15 12 13 11 11
 10 10 10 10 10 10  9  9]",,,,
2024-09-11 19:10:36.676844,"(-65.34, 12.8722)","(1199, 2723)","[18  8 19 20 22 21 25 24 24 24 23 23 22 22 22 22 20 21 18 19 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 14 13 21 17 34 27 44 40 48 47 48 48
 47 47 46 46 42 44 37 40 31 34 26 28 21 22 19 20 16 18 14 15 13 13 11 12
  9 10  9  9  9  9  9  9]",,,,
2024-09-11 19:10:51.453897,"(-77.81, 13.4004)","(1067, 2719)","[18  8 20 20 22 21 24 24 22 23 22 22 21 22 17 19 17 17 17 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 16 11 20 15 29 25 28 28 41 36
 45 45 44 44 41 42 37 39 31 34 26 28 19 23 17 18 14 16 12 13 10 11  9 10
  8  8  8  8  9  9  9  9]",,,,
2024-09-11 19:11:05.214234,"(-90, 15.0)","(915, 2701)","[18 12 19 20 23 21 26 26 25 26 24 24 23 24 22 22 20 20 20 20 17 19 14 16
 13 13 11 12 10 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 17 16 19 17 29 22 41 36 43 42 44 44
 42 43 39 41 35 37 32 33 27 30 20 21 18 19 16 17 14 15 13 14 12 12 11 11
 10 11  9 10  9  9  9  9]",,,,
2024-09-11 19:11:40.996731,"(79.58, -18.726300000000002)","(2687, 3063)","[18 14 19 20 22 21 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 22 15 32 28 33 33 32 32 30 31 26 28 23 24 23 23 21 22 15 19
 14 14 13 13 12 13 13 12 14 15 13 14 13 13 16 15 19 16 23 21 23 23 21 23
 20 20 20 20 23 22 22 23 24 21 29 26 29 30 26 28 22 24 16 16 15 16 13 14
 11 12  9 10  9  9  9  9]",,,,
2024-09-11 19:11:54.760476,"(67.53, -17.9863)","(2509, 3056)","[18 12 19 20 22 21 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 18 15 25 22 32 29 35 34 34 34 32 33 28 31 24 25 22 23 15 21
 15 15 14 14 13 14 13 13 14 15 13 14 24 21 27 26 26 27 23 25 22 22 23 23
 22 22 24 22 30 27 31 31 30 30 32 30 34 33 33 34 28 31 23 26 19 20 17 18
 14 16 12 13 10 11  9  9]",,,,
2024-09-11 19:12:08.729958,"(54.66, -17.8722)","(2324, 3056)","[18 10 19 20 22 21 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 19 12 23 22 23 23 23 22 28 24 37 33 38 38 36 37
 30 34 24 27 20 22 15 19 21 15 26 23 30 28 31 30 33 32 34 34 34 34 32 31
 34 34 33 34 28 31 22 27 22 22 29 27 28 29 23 27 22 23 20 21 17 18 15 16
 13 14 11 12 10 10 10 10]",,,,
2024-09-11 19:12:23.514839,"(42.19, -18.4003)","(2157, 3061)","[18  8 19 20 22 21 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 18  9 27 23 27 27 35 32
 35 36 33 34 35 34 34 34 30 33 26 28 22 24 22 21 27 23 34 30 39 37 39 39
 37 39 33 36 27 30 22 25 21 21 19 20 18 19 15 16 14 14 13 13 12 12 12 12
 12 12 12 12 12 12 12 12]",,,,
2024-09-11 19:12:37.272824,"(30.0, -20.0)","(2013, 3078)","[18 12 19 20 22 21 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 18 16 22 20 31 26 33 33 31 33 27 29 26 26 27 27 28 26 32 30 31 32 28 30
 27 27 29 28 28 28 24 25 19 24 18 19 16 17 14 15 12 13 10 11  9  9  8  8
  8  8  8  8  9  9  9  9]",,,,
2024-09-11 19:12:50.831827,"(19.58, -18.7262)","(1904, 3066)","[18 12 19 20 22 20 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 19 15 23 22 27 23 33 30 37 35 36 37
 32 34 31 32 31 31 30 30 30 30 28 29 27 28 25 26 19 22 18 19 17 18 15 16
 12 13 10 11  9 10 14  9]",,,,
