Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-04 21:35:01.097849,"(0, 0)","(1172, 2836)","[12 10 14 14 17 15 21 20 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 15 12 25 20 38 31 46 43 47 47 44 46 41 42 41 41 42 42
 40 42 37 39 36 36 36 36 35 35 35 35 34 34 30 32 24 28 21 22 18 19 15 16
 14 14 14 14 14 14 14 14]"
2024-09-04 21:35:25.828573,"(90, 3.0)","(1991, 2806)","[15 13 16 17 17 16 20 20 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 14 11 26 16 38 34 39 39 37 37
 40 38 41 41 39 40 37 38 32 35 26 29 19 24 18 19 16 17 14 15 12 13 10 11
  8  9  8  8 15  9 21 19]"
2024-09-04 21:35:46.783828,"(30.0, 3.0)","(1441, 2806)","[12 13 14 13 17 15 20 20 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 19 17 20 19 31 25 41 38 42 42 42 42 48 46
 50 50 49 50 46 48 42 44 39 41 36 38 32 34 30 31 24 28 22 23 19 21 17 18
 14 15 12 13 11 11 10 10]"
2024-09-04 21:36:07.242613,"(-30.0, 3.0)","(808, 2806)","[13  7 15 15 17 15 20 20 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 17  9 25 21 27 26 27 27 27 27 35 29 44 40 48 46 48 48 47 48 47 47 47 47
 46 47 45 45 41 43 36 39 30 32 26 26 23 24 20 22 18 19 16 17 14 15 13 13
 13 13 13 13 12 12 11 11]"
2024-09-04 21:36:27.702604,"(-90, 3.0)","(6, 2807)","[15 12 17 17 17 16 20 20 20 19 22 22 21 22 18 19 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 16 11 28 19 41 36 43 43 41 42
 35 38 31 33 28 30 26 27 23 24 17 17 15 16 13 14 11 12 10 11  9 10  8  9
  7  8  8  8  9  9  9  9]"
2024-09-04 21:36:56.474683,"(30.0, -8.0)","(1440, 2922)","[14  6 15 16 17 16 20 20 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 15 15 17 15 23 20 24 24 26 24 32 28 37 35 39 39 37 39 37 37 40 38 39 39
 40 39 41 41 40 41 35 37 30 32 28 29 24 24 22 23 20 21 18 19 15 16 13 14
 12 13 12 12 12 12 11 11]"
2024-09-04 21:37:16.928423,"(-30.0, -8.0)","(808, 2922)","[15 11 16 17 17 16 20 20 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 14 11 18 17
 17 18 16 16 20 18 23 21 24 23 26 25 27 26 26 27 25 26 23 24 23 23 27 24
 32 31 31 32 27 29 24 26 17 22 16 17 14 15 12 12 11 12 10 11  8  9  7  8
  7  7  8  7  9  9  9  9]"
2024-09-04 21:37:45.685393,"(90, 6.0)","(1991, 2780)","[12 10 14 14 22 18 25 24 23 24 22 22 21 22 19 20 18 18 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 19 18 21 19 27 23 31 29 43 37 45 44
 44 44 41 43 38 40 34 37 30 32 27 28 21 25 20 21 19 20 16 18 14 15 12 13
 11 12 10 11 10 10 10 10]"
2024-09-04 21:38:01.882363,"(61.12, 5.1391)","(1718, 2785)","[14  2 15 15 18 16 21 20 21 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 14 13 21 16 34 27 43 39 48 46 47 47
 46 47 45 46 41 43 35 38 29 32 24 26 20 21 18 19 16 17 14 15 12 13 10 11
  9  9  8  8  9  9  9  9]"
2024-09-04 21:38:18.281089,"(30.0, 6.0)","(1441, 2779)","[17 17 17 18 18 17 23 22 22 23 22 22 21 22 19 20 18 19 17 18 16 17 14 15
 12 13 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 17 16 18 18 21 19 23 22 26 24 35 30 45 41 50 48 52 51 51 51
 50 51 49 50 45 47 40 42 35 37 32 34 27 27 26 27 24 25 21 23 18 20 15 17
 13 14 10 11  9 10  9  9]"
