Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-02 15:54:35.686359,"(0, 0)","(1177, 2855)","[18 14 19 20 18 19 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 24 18 31 28 32 32 37 32 41 40 45 43 45 45 42 44 40 41 40 40 40 40
 38 39 35 37 34 34 33 33 33 33 32 32 25 30 24 25 22 23 20 21 17 18 15 16
 13 14 12 12 12 12 12 12]"
2024-09-02 15:55:00.409628,"(90, 3.0)","(1996, 3.0)","[18 14 19 20 18 19 19 19 20 19 22 22 22 22 23 23 22 22 20 21 18 19 16 17
 15 16 15 15 15 15 15 15 14 14 13 14 12 13 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 13 11
 21 18 25 23 28 27 31 30 31 31 30 30 29 30 27 28 29 26 39 33 44 42 44 44
 41 43 38 39 36 37 32 34 28 30 22 23 20 21 18 19 17 17 15 16 13 14 12 12
 10 11  9  9 14  9 17 16]"
2024-09-02 15:55:21.367938,"(30.0, 3.0)","(1441, 2826)","[18 13 19 20 18 19 19 19 20 19 22 22 22 22 20 21 19 20 18 19 17 17 16 16
 16 16 17 17 16 17 15 16 13 14 12 13 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 14 16 15 22 19 25 25 22 24 24 22 30 28 31 31 29 30 30 29 31 31
 30 31 26 28 23 25 17 22 16 17 15 16 14 15 12 13 11 12 11 11 11 11 11 11
 10 10  9  9  9  9  9  9]"
2024-09-02 15:55:41.819467,"(-30.0, 3.0)","(820, 2824)","[18 10 19 20 19 19 20 19 21 20 22 22 22 22 21 22 21 21 19 20 18 18 17 17
 16 16 15 16 13 14 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 24 19 28 26 27 27 26 27 26 26 37 31 43 40 44 44 43 43 42 42 40 42
 37 39 35 36 37 36 37 38 36 37 33 35 30 32 25 29 22 24 19 21 16 17 14 15
 13 13 12 13 12 12 11 11]"
2024-09-02 15:56:02.275521,"(-90, 3.0)","(12, 2825)","[18  8 19 20 18 19 19 19 20 19 22 22 22 22 22 22 21 22 20 21 19 19 17 18
 16 16 15 15 14 15 12 13 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 21  9 33 28 34 34 31 32 30 31 28 29 24 26 21 22 25 20 37 30 42 40 40 41
 37 38 34 36 31 33 28 30 21 26 19 20 17 18 14 15 12 13 11 11 10 10  9  9
  8  8  8  8  9  9  9  9]"
2024-09-02 15:56:31.224241,"(30.0, -8.0)","(1440, 2943)","[18  4 19 20 18 18 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 16 16 20 17 25 23 24 25 25 23 32 28 37 35 40 39 40 41 38 40 37 38 40 38
 43 42 44 44 42 43 36 39 29 32 24 24 24 24 22 23 20 21 18 19 18 18 18 18
 18 18 17 17 15 16 14 15]"
2024-09-02 15:56:51.659937,"(-30.0, -8.0)","(818, 2942)","[18  9 19 20 18 18 19 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 17 11 21 20
 20 21 19 19 23 21 24 24 26 24 28 27 29 28 33 31 38 36 41 40 45 43 47 46
 47 48 46 47 43 45 38 40 34 35 32 33 26 30 24 25 22 23 19 20 16 18 14 15
 13 14 11 12 10 10  9  9]"
2024-09-02 15:57:20.621636,"(90, 6.0)","(1996, 6.0)","[18  9 20 20 21 20 21 22 21 19 26 24 25 26 20 22 18 19 17 18 14 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 18  9 29 24 31 30 28 30 25 26 22 23 21 22 21 21 26 20 38 33 41 40 38 40
 35 37 31 34 27 29 20 25 19 20 18 19 16 17 14 15 12 13 11 11 10 10  9  9
  8  9  8  8  9  9 13  9]"
2024-09-02 15:57:37.320978,"(61.12, 5.1391)","(1717, 2797)","[18  8 19 20 23 21 25 25 23 24 25 23 25 26 22 24 19 20 19 19 15 17 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 19 14 29 24 34 32 38 36 38 39 35 37 32 33 31 32 34 32 37 36 36 37
 33 35 30 32 27 29 21 26 19 20 17 18 15 16 14 14 13 13 12 12 11 11 10 10
  9 10  9  9  9  9  9  9]"
2024-09-02 15:57:53.710979,"(30.0, 6.0)","(1441, 2790)","[18  8 19 20 20 19 20 21 20 19 24 22 23 24 19 21 17 18 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 17 14 17 17 23 19 30 28 31 31 29 30 36 32 43 41 44 44 42 43 39 41
 34 37 28 31 25 27 20 23 19 20 17 18 15 16 14 15 14 14 14 14 12 13 11 11
  9 10  9  9  9  9  9  9]"
