Measure Time,Commanded trajectory,Real trajectory,Curve
11,"(-30.0, 6.0)","(3754, 68)","[23 25 22 23 21 22 21 22 20 19 24 22 23 24 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 15 11 19 17 20 20 31 23 43 37 52 48 57 55 58 58 56 57 53 55
 51 52 48 50 41 44 35 38 31 33 26 27 22 24 18 20 15 16 12 13 10 11  9 10
  8  9  8  8  9  9  9  9]"
12,"(-58.88, 5.1391)","(3426, 58)","[17 11 19 20 23 21 25 24 23 24 25 23 24 24 19 21 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 18 17 27 22 39 33 47 44 48 48 48 48 46 47
 43 45 38 41 34 36 30 32 22 27 20 21 19 20 17 18 15 16 13 14 12 13 11 12
 11 11 10 10 10 10  9  9]"
13,"(-90.0, 6.0)","(3072, 68)","[17  6 19 20 22 20 24 24 22 23 23 22 22 23 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 16 13 20 16 33 27 44 39 49 47 48 48
 46 47 43 44 38 41 32 34 28 29 24 26 20 21 17 18 15 16 13 14 12 12 11 11
 10 10  9  9  9  9  9  9]"
14,"(61.12, -10.1391)","(695, 3980)","[17 13 19 20 17 18 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 14  9 20 18 20 20 18 19
 21 18 21 22 41 30 48 45 48 49 44 47 40 42 36 38 33 34 32 32 31 31 31 31
 33 31 35 35 33 34 28 30 23 26 22 22 20 21 18 19 16 17 14 15 12 13 11 12
 10 10 10 10 10 10 10 10]"
15,"(30.0, -11.0)","(341, 3970)","[19 13 23 23 21 22 18 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 16 11 18 17
 21 17 32 26 37 35 36 37 33 35 31 32 35 33 42 37 52 50 52 52 51 52 48 50
 44 46 41 42 38 39 34 35 31 32 27 27 26 26 23 25 21 22 20 20 19 19 17 18
 15 16 14 14 21 18 24 23]"
16,"(1.12, -10.1391)","(12, 3980)","[17 11 19 20 17 18 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 16 10 19 19 18 18 12 16 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 16 16 25 19 42 35 51 48 53 53 51 52 46 49 41 43 39 40 37 38 36 36
 36 36 35 35 34 34 32 33 30 31 26 26 25 26 24 25 21 22 18 20 16 17 14 15
 13 13 11 12 16 14 16 17]"
17,"(-30.0, -11.0)","(3754, 3970)","[17  9 19 20 17 18 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 14 12 20 17 22 21 21 22 20 21 19 20 19 19 17 18 19 17 23 21 30 27
 34 34 39 35 44 42 42 43 37 40 30 33 25 28 20 23 19 20 16 18 14 15 13 14
 11 12 10 10 10 10 10 10]"
18,"(-58.88, -10.1391)","(3426, 3980)","[17  9 19 20 17 18 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 16 10 16 16 20 18 22 21
 25 21 31 28 32 32 29 31 25 27 21 23 14 20 19 14 20 20 20 20 15 15 13 14
 11 12  9 10  9  9  9  9]"
19,"(90.0, 9.0)","(1024, 102)","[18 17 19 20 23 21 23 23 22 23 22 22 23 23 21 22 18 19 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 13  9 14 14 11 11 10 11
  9  9  9  9 14 11 20 18 21 21 20 20 19 19 28 22 42 36 52 47 54 54 51 53
 46 48 39 43 36 37 33 35 29 31 23 24 20 22 17 19 15 16 13 14 12 13 12 12
 11 11 10 10  9 10  9  9]"
20,"(71.69, 7.9)","(815, 89)","[17  9 19 20 21 20 24 23 23 24 23 23 22 22 22 22 21 21 19 20 18 19 17 18
 15 16 13 14 12 12 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 14  9 13 14 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 17 16 21 17 34 30 42 38 48 45 48 48
 47 47 45 46 40 43 34 37 28 31 22 22 20 21 17 18 15 16 14 14 13 13 12 12
 11 11 11 11 10 11 10 10]"
