Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-02 22:28:30.393843,"(0, 0)","(1186, 2829)","[13 13 16 15 15 16 15 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 23 15 38 31 46 42 47 47 46 47 44 45 44 44 44 44
 42 43 35 39 34 34 36 35 36 36 35 35 34 35 31 32 25 29 23 24 21 22 18 20
 17 17 16 16 16 16 15 15]"
2024-09-02 22:28:55.101914,"(90, 3.0)","(1987, 5601)","[13  4 16 15 15 16 15 14 20 19 22 22 22 22 21 21 19 20 17 18 16 16 15 15
 14 15 13 14 11 12 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 16 13 31 24 41 37 45 44 44 45 41 43
 40 40 39 39 38 39 33 35 27 30 21 21 18 20 16 17 14 15 13 14 13 13 11 12
 10 11  9 10 11  9 15 14]"
2024-09-02 22:29:16.062485,"(30.0, 3.0)","(1439, 2801)","[13  7 16 15 16 16 19 18 21 19 22 22 21 22 17 19 17 17 17 17 16 16 15 16
 14 15 12 13 11 12 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 25 20 38 32 46 43 50 49 50 50 48 49
 42 47 35 38 33 34 31 32 30 31 28 29 23 23 23 23 22 23 19 21 16 18 14 15
 12 13 10 11  9 10  9  9]"
2024-09-02 22:29:36.504228,"(-30.0, 3.0)","(833, 2798)","[13  7 16 15 20 18 23 22 22 23 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 21 18 23 23 23 23 22 22 30 24 42 36 48 46 50 50 50 50 53 52 52 53
 49 51 43 47 39 41 35 37 30 33 25 26 22 24 19 20 17 18 15 16 13 14 12 12
 11 11 10 10 10 10 10 10]"
2024-09-02 22:29:56.951960,"(-90, 3.0)","(5, 2800)","[14  9 16 17 16 16 20 19 21 20 22 22 21 22 18 19 17 17 16 16 15 15 14 15
 14 14 13 13 12 12 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 17 15 20 17 34 25 46 41 49 48 47 49
 42 45 39 40 34 36 29 31 24 26 20 20 18 19 15 17 14 14 12 13 12 12 11 12
 11 11 11 11 10 11 10 10]"
2024-09-02 22:30:25.715368,"(30.0, -8.0)","(1439, 2918)","[14  7 16 17 15 16 16 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 16 13 20 18 20 20 25 20 33 30 36 35 38 37 38 39 35 37 34 34 39 36
 43 42 44 44 42 43 37 40 31 34 27 28 24 24 22 23 21 21 20 20 20 20 20 20
 19 19 17 18 15 16 13 14]"
2024-09-02 22:30:46.166119,"(-30.0, -8.0)","(832, 2917)","[15  5 16 17 15 16 16 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 17 13 21 20
 20 21 18 19 21 19 23 22 25 24 25 26 25 25 27 27 26 27 25 25 24 24 31 27
 36 35 36 37 32 34 26 28 19 23 18 19 16 17 14 15 13 13 12 12 11 11 11 11
 11 11 10 11 10 10  9 10]"
2024-09-02 22:31:15.116968,"(90, 6.0)","(1987, 5601)","[17 14 19 19 21 19 20 21 20 19 24 22 22 23 18 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 24 20 40 32 48 46 49 49 44 46 43 44
 42 43 39 41 35 37 28 31 21 26 19 20 16 18 15 16 13 14 12 13 11 12 10 10
  9  9  9  9  9  9  9  9]"
2024-09-02 22:31:31.811970,"(61.12, 5.1391)","(1708, 2775)","[13  6 16 16 21 18 24 23 22 23 24 22 23 24 20 21 17 18 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 20 16 21 21 23 21 34 27 46 41 50 49 49 50
 46 48 43 45 39 41 34 37 28 31 21 22 19 20 17 18 15 16 13 14 11 12  9 10
  9  9  9  9  9  9  9  9]"
2024-09-02 22:31:49.220827,"(30.0, 6.0)","(1439, 2767)","[15  9 17 18 17 17 21 20 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 20 16 30 25 40 36 47 44 49 48 49 49
 47 48 45 46 40 42 33 36 28 31 22 22 20 21 18 19 16 17 15 16 14 14 13 13
 12 12 11 11 10 10  9  9]"
