Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-02 19:37:52.958633,"(1.12, 5.1391)","(1184, 2823)","[16  6 17 18 22 19 23 23 22 23 22 22 21 22 18 19 17 17 16 16 14 15 13 14
 12 13 11 12 10 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 21 15 32 26 42 38 46 45 46 46 43 45 39 41 43 40
 48 47 49 49 46 47 40 43 33 36 28 30 23 24 20 22 18 19 16 17 14 15 13 13
 11 12 11 11 10 10  9  9]"
2024-09-02 19:38:09.355607,"(-30.0, 6.0)","(830, 2812)","[23 25 21 22 21 21 24 24 23 24 24 23 22 23 19 21 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 16 13 21 19 22 22 23 22 33 26 45 40 53 50 56 55 56 56 54 55 51 53
 48 49 46 47 40 43 33 36 27 31 26 27 23 25 20 21 17 18 16 16 15 15 14 14
 13 13 12 12 11 11 10 10]"
2024-09-02 19:38:25.556436,"(-58.88, 5.1391)","(426, 2820)","[16 11 17 18 22 19 25 25 23 25 23 23 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 14  9 14 14 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 20 17 26 23 34 30 39 38 39 40 44 41 45 45
 42 44 38 40 34 36 30 32 25 28 21 21 19 20 19 19 17 18 16 17 15 15 13 14
 11 12  9 10  9  9  9  9]"
2024-09-02 19:38:41.954600,"(-90, 6.0)","(17, 2812)","[16 13 17 18 23 20 26 25 24 25 23 23 22 23 20 21 17 18 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 19 15 21 20 25 23 36 29 49 43 53 52 51 53
 47 49 42 44 37 39 30 33 23 27 21 22 20 21 18 19 16 17 14 15 12 13 11 12
 10 11  9 10  9  9  9  9]"
2024-09-02 19:39:15.093908,"(61.12, -10.1391)","(1721, 5600)","[16 10 17 18 15 16 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 17  9 22 20 22 23 20 21
 21 19 23 22 43 33 50 48 51 51 47 49 42 45 38 40 40 38 42 42 41 42 37 39
 34 35 33 33 26 31 25 25 23 24 21 22 19 20 16 17 13 14 12 12 10 11  9  9
  8  8  8  8  9  9  9  9]"
2024-09-02 19:39:31.993793,"(30.0, -11.0)","(1448, 2996)","[19 20 20 20 18 19 17 17 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 16 16 20 17 26 23 24 25 23 22 26 24 35 30 49 43 55 54 54 55 53 53 51 52
 47 49 41 44 38 39 35 37 33 34 31 32 27 27 25 26 22 23 21 21 20 21 18 19
 16 17 16 16 21 20 23 22]"
2024-09-02 19:39:49.198653,"(1.12, -10.1391)","(1183, 2991)","[22 21 22 23 18 21 16 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 17 10 20 19 19 20 12 17 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 17 13 29 22 42 36 50 47 51 52 49 51 45 47 41 42 38 40 36 37 33 34
 30 32 29 29 32 30 35 34 34 35 32 33 25 29 23 24 21 22 19 20 18 18 16 17
 14 15 12 13 11 11 11 11]"
2024-09-02 19:40:05.592471,"(-30.0, -11.0)","(830, 2997)","[16 12 18 19 16 17 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 16 10 18 17 16 17 12 15 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 15 11 21 18 24 23 24 25 23 24 21 22 22 20 32 26 39 36 40 40
 38 39 34 36 30 32 27 28 24 26 19 19 17 18 15 16 13 14 11 12 10 11  9 10
  8  9  8  8  9  9  9  9]"
2024-09-02 19:40:21.793036,"(-58.88, -10.1391)","(426, 2992)","[16 10 17 18 16 16 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 13 13 20 16 28 26 30 30 29 30 26 28
 25 25 35 27 40 38 38 39 34 36 29 32 23 26 19 22 18 19 17 18 14 16 12 13
  9 10  9  9  9  9  9  9]"
2024-09-02 19:40:54.734903,"(90, 9.0)","(2002, 5600)","[17 12 20 20 19 19 21 21 21 20 24 22 22 24 19 21 17 17 16 17 15 16 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 14 13 26 19 37 32 45 41 50 48 50 50
 49 50 44 47 37 40 31 34 28 30 22 22 20 21 18 19 16 17 15 15 14 14 12 13
 11 12  9 10  9  9  9  9]"
2024-09-02 19:41:09.811380,"(71.69, 7.9)","(1817, 2797)","[16  8 17 18 23 20 26 25 23 25 23 23 22 22 19 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 18 17 24 21 32 29 37 35 42 40 43 43
 43 44 42 43 39 40 35 37 30 32 24 27 20 21 17 18 15 16 13 14 12 12 11 11
 10 10 10 10 10 10 10 10]"
2024-09-02 19:41:24.988900,"(50.4, 7.7873)","(1627, 2798)","[16 13 17 18 23 20 26 25 23 25 23 23 22 22 19 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 15 15 12 15 13 12 14 15 13 14 18 16 29 24 36 33 38 38 40 39 45 43
 46 46 45 46 42 44 37 39 32 34 27 30 22 23 20 21 17 18 15 16 13 14 12 12
 11 11  9 10  9  9  9  9]"
2024-09-02 19:41:39.963610,"(30.0, 9.0)","(1449, 2787)","[17 15 17 18 22 19 24 24 22 22 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 27 21 37 32 44 42 45 45 48 46 52 50
 52 53 50 52 44 48 37 41 30 33 23 24 20 21 17 18 15 16 13 14 12 12 11 11
 10 11 10 10  9  9  9  9]"
2024-09-02 19:41:54.534326,"(11.69, 7.9)","(1277, 2796)","[16 14 17 18 23 20 25 25 23 24 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 27 18 38 33 44 41 47 46 47 47 47 47 48 47
 50 50 49 50 44 46 38 41 31 35 24 25 21 23 18 20 16 17 14 15 12 13 11 12
 10 10 10 10  9 10  9  9]"
2024-09-02 19:42:09.517341,"(-9.6, 7.7873)","(1085, 2797)","[18 18 17 18 21 19 24 23 22 23 22 22 21 22 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 13 11 18 16 20 18 32 24 45 39 51 48 53 52 52 52 51 52 49 50
 49 49 47 48 42 45 35 38 30 32 25 26 22 24 19 21 17 18 14 15 13 13 11 12
 11 11 11 11 11 11 11 11]"
2024-09-02 19:42:24.491712,"(-30.0, 9.0)","(830, 2786)","[25 27 23 24 22 22 23 23 21 21 23 22 22 22 19 21 17 18 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 16 12 21 20 29 24 42 36 51 47 57 55 58 58 57 58 53 54
 52 52 49 51 42 46 37 39 32 35 26 27 23 24 20 21 17 18 15 16 14 14 13 13
 11 12 10 11  9 10  9  9]"
2024-09-02 19:42:40.077607,"(-48.31, 7.9)","(574, 2795)","[25 27 22 24 21 21 22 22 21 20 25 23 24 25 18 20 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 25 20 36 31 47 42 55 52 56 56 54 55 47 50
 44 46 41 42 35 38 30 32 24 29 22 24 20 21 18 19 16 17 13 15 12 13 10 11
  9 10  9  9  9  9  9  9]"
2024-09-02 19:42:55.251990,"(-69.6, 7.7873)","(277, 2795)","[16  4 18 19 22 20 24 24 22 23 24 22 23 24 19 21 17 17 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 19 18 30 24 40 38 44 42 50 47 48 49
 43 47 38 40 33 35 29 31 25 27 20 21 18 19 15 16 12 13 10 11  9 10  8  9
  8  8  8  8  9  9  9  9]"
2024-09-02 19:43:10.219551,"(-90, 9.0)","(17, 2785)","[17 16 19 19 22 21 22 23 21 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 14 13 27 20 41 34 51 47 52 52 49 50
 45 47 42 44 34 38 29 32 22 27 20 21 17 19 15 16 12 14 10 11 10 10  9 10
  8  9  8  8  9  9  9  9]"
2024-09-02 19:43:44.960116,"(71.69, -12.9)","(1817, 5600)","[16 14 18 19 17 17 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 20 16 26 23 34 30 42 38 43 43 41 42
 35 39 28 31 27 27 33 30 34 34 31 33 26 28 24 24 26 25 27 27 28 28 27 28
 21 25 21 21 21 21 20 20 21 21 21 21 21 21 21 21 20 20 19 19 17 18 15 16
 13 14 12 12 10 11  9  9]"
2024-09-02 19:44:00.638560,"(50.4, -12.7873)","(1627, 3017)","[16  9 18 19 17 17 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 17 11
 26 20 33 31 34 33 42 39 43 43 40 42 35 38 28 31 24 25 23 23 25 24 25 26
 23 25 19 19 19 19 19 19 19 19 19 19 18 19 17 17 16 16 21 20 16 21 16 16
 14 15 12 13 12 12 12 12]"
2024-09-02 19:44:15.612623,"(30.0, -14.0)","(1448, 3025)","[16 13 18 19 17 17 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 14 12 17 16 13 17 14 15 13 14 20 17 21 21 28 21 34 33 33 33 40 36
 47 45 49 49 49 49 45 47 40 42 36 38 33 35 30 32 24 27 22 23 19 21 17 18
 14 15 12 13 12 12 11 12]"
