Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-09 20:48:56.341323,"(1.12, 5.1391)","(1728, 2827)","[22 19 25 26 23 24 23 23 22 22 25 23 25 25 22 23 20 21 19 20 16 17 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 15 11 17 17 14 17 24 19 33 29 37 36 39 36 42 41 44 43 47 47
 44 46 42 43 39 41 36 38 32 33 30 31 24 28 22 23 20 21 19 19 20 19 20 20
 19 20 18 19 16 17 15 16]"
2024-09-09 20:49:12.731800,"(-30.0, 6.0)","(1505, 2821)","[24 24 25 26 21 23 21 22 20 19 22 22 21 22 18 20 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 14 11 21 18 23 23 26 24 38 31 50 45 55 54 54 55 53 54 52 53
 48 51 44 46 40 42 36 38 33 34 31 32 27 27 27 27 26 27 25 26 22 24 20 21
 18 19 15 16 14 14 12 13]"
2024-09-09 20:49:28.899441,"(-58.88, 5.1391)","(1265, 2826)","[24 23 25 26 21 23 21 22 22 19 26 25 25 26 20 23 17 19 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 13 11
 17 17 17 17 12 16 18 12 20 21 29 22 43 36 55 50 59 58 58 59 57 57 54 56
 49 53 42 46 35 39 35 34 38 37 39 39 37 38 37 36 37 37 34 36 28 29 24 26
 20 22 17 18 14 15 12 13]"
2024-09-09 20:49:46.278237,"(-90, 6.0)","(926, 2819)","[22 11 25 26 21 23 23 23 21 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 13 13 12 13 11 12 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 16 15 16 16 12 15 13 12 14 15 13 14 25 20 39 33 44 44 43 43 43 43 44 42
 46 46 44 45 38 41 35 36 35 34 34 35 32 33 33 32 33 34 31 32 25 26 23 24
 20 21 16 18 13 14 11 12]"
2024-09-09 20:50:19.572800,"(61.12, -10.1391)","(2413, 2990)","[22 13 25 25 21 23 20 22 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 11 10 19 14 25 23 24 25 21 22
 22 20 34 26 44 40 46 46 44 46 39 42 34 36 31 32 30 30 28 29 27 27 25 27
 21 24 21 21 21 21 20 21 18 19 18 18 17 18 16 17 14 15 12 13 12 12 11 11
 10 10 10 10 10 10 10 10]"
2024-09-09 20:50:36.974742,"(30.0, -11.0)","(2006, 2994)","[22  8 25 25 21 23 20 21 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 22 19 23 23 23 22 28 25 33 30 37 35 39 38 39 39 36 39 35 35 38 37 37 38
 36 37 34 35 32 33 31 32 27 30 23 23 22 23 20 21 18 19 16 17 16 16 15 15
 14 14 13 13 11 12 11 11]"
2024-09-09 20:50:53.168719,"(1.12, -10.1391)","(1728, 2986)","[22 15 25 25 21 23 20 21 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 17  9 23 20 27 25 33 29 43 39 49 46 51 50 50 51 48 49 45 47 42 43 42 42
 41 41 40 41 39 40 37 38 36 36 34 35 28 33 26 27 24 25 21 23 21 21 21 21
 21 21 20 21 18 19 17 18]"
2024-09-09 20:51:09.548935,"(-30.0, -11.0)","(1504, 2990)","[22  8 25 25 21 23 20 21 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 15  9 21 18 27 24 29 29
 29 29 36 31 42 39 42 42 46 41 48 49 45 47 42 43 41 41 40 40 39 40 38 39
 37 38 35 36 27 33 25 26 22 24 19 21 18 19 18 18 17 18 16 17 16 16 16 16
 15 15 14 14 12 13 12 12]"
2024-09-09 20:51:25.734572,"(-58.88, -10.1391)","(1264, 2982)","[22  8 24 25 21 23 20 21 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 13  9 14 14 12 11 13 12 14 15 13 14 12 13 14 11 17 16 25 20 28 27 31 27
 39 37 41 41 38 39 31 35 25 28 20 23 16 17 14 15 13 14 11 12 10 11  9 10
  9  9  9  9  9  9  9  9]"
2024-09-09 20:51:58.634723,"(90, 9.0)","(2838, 2781)","[26 26 27 28 22 24 24 23 23 25 23 22 22 23 23 22 23 25 22 22 21 21 16 18
 14 15 11 12 10 10 11 11 11 11 14 12 14 15 13 14 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 14 16 15 19 17 27 21 33 31 38 36 42 40 48 43 56 52 57 57 55 56
 53 54 50 51 46 48 41 44 36 38 31 33 26 28 24 25 21 22 19 20 18 18 16 17
 15 15 13 14 12 12 11 11]"
