Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-09 15:49:40.312657,"(0, 0)","(1138, 2798)","[11  6 13 12 12 13 14 11 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 22 17 34 29 41 38 43 42 43 43 42 43 37 41 33 34 31 31 39 36
 41 41 38 40 37 38 36 37 33 35 28 31 24 24 23 24 22 23 22 22 21 21 23 20
 27 27 27 28 26 27 21 25]"
2024-09-09 15:50:05.042878,"(90, 3.0)","(2002, 2770)","[11  4 13 12 12 13 15 11 22 21 23 23 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 11 11 11 11 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 19  9 24 23 22 24 20 21 19 20 19 19 17 18 12 16 12 12 37 22 53 46 59 57
 58 59 52 56 48 50 44 46 40 42 35 38 26 32 24 25 21 23 17 19 14 16 11 13
  9 10  9  9 12  9 22 19]"
2024-09-09 15:50:25.497577,"(30.0, 3.0)","(1442, 2771)","[13  7 15 15 13 14 18 15 23 22 23 24 22 23 20 21 17 18 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 15 14 16 15 24 18 35 30 40 38 41 41 41 41 41 41 37 40 36 36 37 37
 35 35 35 35 34 34 32 33 30 31 27 28 23 23 21 22 19 19 18 19 16 17 15 16
 15 15 14 14 14 14 13 13]"
2024-09-09 15:50:45.953626,"(-30.0, 3.0)","(804, 2770)","[15  7 18 19 15 16 15 13 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 13 11 21 18
 23 23 21 22 19 20 20 19 26 22 33 30 39 36 37 39 34 34 32 33 29 30 33 31
 33 34 31 32 30 31 25 28 20 23 18 19 17 18 17 17 16 17 16 16 15 15 14 14
 13 14 12 12 11 11 10 10]"
2024-09-09 15:51:06.408079,"(-90, 3.0)","(15, 2770)","[14 12 15 16 13 14 18 15 24 23 24 25 21 23 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 12 10 16 15
 14 15 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 12 13 11 11 18 10 31 25 37 35 36 37
 35 36 32 34 26 29 22 24 19 21 15 15 14 14 12 13 11 12 10 11  9 10  9  9
  8  8  8  8  9  9  9  9]"
2024-09-09 15:51:35.198514,"(30.0, -8.0)","(1441, 2889)","[11 10 14 13 16 15 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 16 11
 17 17 23 19 27 26 26 27 24 24 23 23 37 30 46 43 48 48 49 48 49 49 47 48
 44 46 41 43 37 39 34 35 32 33 30 31 25 25 23 24 21 22 19 20 17 18 16 17
 16 16 15 16 20 18 22 22]"
2024-09-09 15:51:55.651377,"(-30.0, -8.0)","(804, 2890)","[14  9 17 17 13 15 14 12 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 16 10 20 19 19 19 12 17 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 18 12 22 21 22 23 21 22 18 19 16 17 11 11 11 11 17 11
 26 20 35 31 37 36 35 36 30 33 25 27 17 23 16 17 14 15 13 14 11 12 10 10
 10 10 10 10  9 10  9  9]"
2024-09-09 15:52:24.417789,"(90, 6.0)","(2002, 2734)","[12 11 14 14 13 13 15 13 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 11 10 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 11 11
 21 14 27 25 27 27 24 25 21 22 18 19 12 13 11 11 11 11 26 17 46 37 52 51
 52 53 49 51 45 47 39 42 33 36 29 31 23 23 20 22 18 19 15 16 12 13 11 11
 10 10 10 10 20 15 26 24]"
2024-09-09 15:52:40.620641,"(61.12, 5.1391)","(1725, 2740)","[16 15 17 18 13 15 15 13 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 28 22 34 32 34 35 30 32 25 27 21 23 19 20 18 19 13 18 13 13 34 25 38 37
 36 38 32 34 29 30 27 28 25 27 21 23 18 18 16 17 15 16 14 14 12 13 11 11
  9 10  9  9 23 18 27 26]"
2024-09-09 15:52:57.025313,"(30.0, 6.0)","(1443, 2732)","[11  8 14 13 13 13 14 12 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 21 19 22 22 20 21 20 19 24 21 29 27 29 29 32 29 37 37 36 37 41 38 46 45
 43 45 39 41 36 38 32 34 31 31 29 30 23 28 23 23 21 22 21 21 20 20 18 19
 17 17 15 16 15 15 15 15]"
2024-09-09 15:53:13.213749,"(1.12, 5.1391)","(1151, 2736)","[11  4 14 13 14 14 16 14 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 17  9 18 19 12 17 18 12 28 22 41 35 49 46 50 50 49 49 47 48 46 47 46 46
 43 45 38 41 37 37 38 38 38 39 37 38 35 36 27 33 26 27 23 24 21 22 19 20
 17 17 15 16 14 15 14 14]"
