Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-05 19:05:24.264115,"(0, 0)","(1136, 2814)","[14  5 18 18 16 17 18 17 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 16 12 27 21 40 34 47 44 48 48 46 47 43 44 43 43 44 44
 42 43 38 40 36 37 36 36 36 36 35 36 33 34 29 31 24 27 20 22 17 18 14 15
 13 13 13 13 13 13 12 13]"
2024-09-05 19:05:48.977744,"(90, 3.0)","(2000, 2789)","[14 11 18 18 16 17 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 23 20 25 25 28 25 35 31 37 36 35 35
 37 35 38 39 37 38 35 36 31 33 26 28 19 23 17 18 14 16 12 13 11 11  9 10
  8  9  8  8  9  9 14  9]"
2024-09-05 19:06:09.431918,"(30.0, 3.0)","(1443, 2788)","[14  8 18 18 16 17 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 14 11 18 17 14 18 21 18 23 22 33 28 41 38 42 42 45 43 50 48
 50 50 49 50 46 48 43 44 40 41 36 38 32 34 26 31 24 26 22 23 19 20 17 18
 14 16 12 13 11 12 10 11]"
2024-09-05 19:06:29.876196,"(-30.0, 3.0)","(799, 2788)","[14  8 18 18 16 17 16 15 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 22 20 24 23 24 24 25 24 35 28 43 39 47 46 47 47 46 46 46 46 46 46
 45 46 42 44 39 41 37 38 35 36 29 33 26 26 25 25 24 24 35 31 39 37 37 38
 34 36 28 31 23 25 20 21]"
2024-09-05 19:06:50.336866,"(-90, 3.0)","(14, 2788)","[14 10 18 18 16 17 18 17 20 19 22 22 21 22 18 20 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 16 11 31 23
 44 39 48 47 47 48 43 45 41 41 43 41 42 43 38 41 34 35 40 35 46 43 45 46
 42 44 37 40 35 36 33 34 28 32 26 27 24 25 22 23 20 21 18 19 15 17 13 14
 11 12 10 10  9 10  9  9]"
2024-09-05 19:07:20.118274,"(30.0, -8.0)","(1442, 2901)","[14  8 18 18 16 17 17 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 16 11
 18 18 18 18 20 19 19 19 27 19 37 33 40 39 39 40 36 37 34 35 37 35 39 39
 39 39 37 38 34 36 29 31 22 27 22 22 22 22 21 21 20 20 19 19 17 18 16 16
 15 16 14 15 12 13 11 11]"
2024-09-05 19:07:40.568432,"(-30.0, -8.0)","(799, 2902)","[14  6 18 18 16 17 16 16 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 18 16
 19 19 17 18 19 18 20 20 22 21 24 23 27 26 27 27 26 27 24 25 23 23 26 23
 32 31 31 32 27 30 23 25 17 21 17 17 15 16 13 14 11 12 10 11  9 10  9  9
  9  9  9  9  9  9  9  9]"
2024-09-05 19:08:09.525816,"(90, 6.0)","(2000, 2756)","[14  9 18 18 21 19 22 22 21 21 23 22 23 23 20 22 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 15 11
 15 15 20 17 25 23 25 25 23 24 22 22 22 22 23 22 33 25 45 40 49 48 48 49
 46 48 41 44 37 39 33 35 27 30 22 23 19 21 17 18 16 16 13 15 12 12 10 11
  9 10  9  9  9  9  9  9]"
2024-09-05 19:08:25.718352,"(61.12, 5.1391)","(1727, 2763)","[14  8 18 18 22 19 24 24 22 23 22 22 21 22 18 20 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 18 14 22 20 20 21 14 19 21 19 22 22 25 21 36 31 45 41 48 47 47 48
 45 46 40 43 37 39 33 35 28 30 22 22 20 21 18 19 16 17 15 15 13 14 12 12
 10 11 10 10  9 10  9  9]"
2024-09-05 19:08:42.100475,"(30.0, 6.0)","(1443, 2756)","[14 11 17 18 18 18 21 21 21 19 22 22 22 22 20 21 17 18 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 13  9 17 15 17 17 20 19 19 21 23 19 26 25 30 26 43 38 50 47 50 50 49 50
 48 49 46 47 42 44 35 39 28 31 23 24 20 21 18 19 17 18 15 16 13 14 11 12
  9 10  9  9  9  9  9  9]"
2024-09-05 19:08:58.295415,"(1.12, 5.1391)","(1184, 2764)","[15 14 19 18 25 22 26 26 23 24 22 22 22 22 20 21 17 18 16 17 15 16 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 19 17 20 20 22 21 22 23 21 21 22 21 36 30 43 41 48 45 49 49 47 48
 46 46 45 46 42 44 37 40 33 35 29 31 25 25 24 24 23 24 21 22 18 20 15 16
 12 13 12 12 12 12 12 12]"
2024-09-05 19:09:14.686532,"(-30.0, 6.0)","(800, 2758)","[20 21 21 21 21 21 20 21 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 18 11
 30 27 32 32 30 31 28 29 29 28 32 31 37 35 48 43 54 52 55 55 55 55 52 53
 49 49 47 48 43 45 41 41 40 41 39 40 30 37 28 30 25 26 24 24 30 29 25 30
 23 25 21 22 18 19 16 17]"
