Azimutal,Elevation,0.0,0.236,0.472,0.709,0.945,1.181,1.417,1.654,1.89,2.126,2.362,2.598,2.835,3.071,3.307,3.543,3.78,4.016,4.252,4.488,4.724,4.961,5.197,5.433,5.669,5.906,6.142,6.378,6.614,6.85,7.087,7.323,7.559,7.795,8.031,8.268,8.504,8.74,8.976,9.213,9.449,9.685,9.921,10.157,10.394,10.63,10.866,11.102,11.339,11.575,11.811,12.047,12.283,12.52,12.756,12.992,13.228,13.465,13.701,13.937,14.173,14.409,14.646,14.882,15.118,15.354,15.591,15.827,16.063,16.299,16.535,16.772,17.008,17.244,17.48,17.717,17.953,18.189,18.425,18.661,18.898,19.134,19.37,19.606,19.843,20.079,20.315,20.551,20.787,21.024,21.26,21.496,21.732,21.969,22.205,22.441,22.677,22.913,23.15,23.386,23.622,23.858,24.094,24.331,24.567,24.803,25.039,25.276,25.512,25.748,25.984,26.22,26.457,26.693,26.929,27.165,27.402,27.638,27.874,28.11,28.346,28.583,28.819,29.055,29.291,29.528,29.764,30.0
0,0,22,18,19,21,26,23,25,26,14,22,12,12,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,16,8,35,34,23,31,14,20,9,11,8,10,10,8,12,11,9,9,34,9,46,46,51,40,58,59,35,47,24,26,14,19,8,10,9,7,10,9,9,9,9,9,18,13,23,16,21,23,11,16,9,10,8,7,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,8,6,7,9,7,8,22,6,18,22,9,14,9,9,7,7
90,2.5981,22,13,19,21,25,23,25,26,14,22,12,12,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,27,7,44,45,41,38,35,40,20,28,12,16,10,11,12,11,9,9,22,9,26,27,46,28,60,61,39,52,24,25,14,19,10,11,9,8,10,9,9,9,9,9,22,13,19,22,16,18,10,10,8,9,8,8,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,8,6,7,9,7,8,20,6,21,24,9,15,7,8,7,6
30.0,2.5981,22,18,19,21,25,23,25,25,13,21,12,11,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,24,9,41,41,30,35,23,27,13,16,9,10,10,9,12,11,9,9,19,9,29,29,49,29,62,63,38,54,24,25,13,18,9,11,9,6,10,9,9,9,9,9,23,14,26,23,25,26,12,18,9,11,8,8,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,11,6,7,9,7,8,8,6,9,16,7,8,7,6,7,6
-30.0,2.5981,22,17,19,21,26,23,25,26,14,21,12,13,13,12,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,14,10,24,13,41,41,27,34,16,25,14,16,9,11,10,9,12,11,9,9,8,9,34,34,47,33,59,60,36,50,23,24,13,18,8,9,9,6,10,9,9,9,9,9,23,15,26,23,24,26,11,17,9,11,8,8,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,8,6,7,9,7,8,19,6,21,24,9,16,8,9,7,7
90.0,-2.5981,21,19,19,21,25,23,25,25,16,22,12,13,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,7,7,12,12,8,10,10,8,9,9,8,10,10,8,12,11,15,15,45,16,55,56,45,47,50,51,27,41,18,21,11,14,8,9,9,7,10,9,9,9,9,9,7,8,7,7,8,8,7,8,8,9,8,7,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,6,13,13,8,9,21,22,17,15,16,19,8,10,9,9,7,8,7,6,7,6
30.0,-2.5981,21,18,19,21,26,23,25,26,13,21,12,11,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,8,13,12,11,8,10,10,7,9,9,8,10,10,8,12,11,9,9,46,9,52,53,54,48,60,61,29,49,22,25,13,17,8,9,9,7,10,9,9,9,9,9,13,8,7,13,17,8,14,16,9,9,8,8,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,11,6,7,9,7,8,18,6,15,18,8,8,8,8,7,7
-30.0,-2.5981,21,22,19,21,26,23,25,26,15,22,12,13,13,11,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,15,10,8,15,12,11,8,10,10,7,9,9,8,10,10,8,12,11,9,9,8,9,19,20,51,36,60,61,35,47,21,22,11,15,8,9,9,7,10,9,9,9,9,9,7,8,19,7,17,19,9,13,8,9,8,7,12,10,10,11,8,8,10,9,7,9,10,9,8,10,5,6,9,5,10,9,8,9,8,6,7,9,7,8,21,11,18,22,8,8,7,8,7,6
90,5.1962,22,24,19,21,26,23,26,26,14,22,12,11,13,10,12,12,12,10,13,11,11,12,11,9,11,12,13,10,13,15,10,11,10,10,8,10,30,8,48,48,50,46,44,50,33,38,19,23,13,17,12,11,9,9,8,9,14,8,26,20,47,48,35,41,20,26,15,18,10,12,9,9,10,9,9,9,9,9,15,12,18,19,15,15,8,8,8,9,8,7,12,10,10,11,8,8,10,9,14,15,17,9,9,16,7,8,9,6,10,9,8,9,8,6,7,9,7,8,12,6,9,9,7,8,7,6,7,6
61.12,4.4506,22,21,19,21,26,23,25,26,15,22,12,12,13,10,12,12,12,10,13,11,11,12,17,18,11,12,13,10,13,15,10,11,10,10,8,10,28,8,45,45,45,40,40,45,29,33,16,21,12,14,12,11,9,9,16,9,27,27,39,24,54,55,37,47,22,23,13,17,9,11,9,7,10,9,9,9,9,9,14,8,17,20,17,17,9,9,8,9,8,7,12,10,10,11,8,8,10,9,14,15,16,12,8,16,7,8,9,7,10,9,8,9,8,6,7,9,7,8,15,6,18,20,8,13,8,8,7,7
