Measure Time,Azimuth,Elevation,Curve
2024-08-30 21:38:49.870866,-30.0,6.0,"[18  8 22 23 23 23 25 25 22 24 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 20 14 27 24 28 28 30 28 33 32 34 33 39 37 43 41 51 46 52 52 51 52
 48 49 43 46 38 41 33 35 31 32 26 26 24 25 21 22 18 20 16 17 14 15 12 13
 11 11 12 12 12 12 12 12]"
2024-08-30 21:39:06.069423,-58.88,5.1391,"[20 18 22 23 23 22 24 24 23 23 23 23 22 23 20 21 18 19 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 18  9 28 22 37 33 38 38 36 38 34 35 41 37 54 49 56 56 54 55 55 54 53 54
 50 52 46 48 43 45 39 41 33 36 28 29 27 28 26 27 25 25 22 24 19 21 16 17
 13 14 11 12 10 11  9 10]"
2024-08-30 21:39:22.472650,-90,6.0,"[19 15 22 23 20 21 23 22 22 22 22 22 22 22 19 20 17 19 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 15 10 16 16 15 15 16 15 24 20 24 24
 34 25 50 42 58 54 58 58 55 58 50 53 46 47 47 46 49 48 50 50 51 51 50 51
 48 49 45 47 42 44 37 39 32 35 29 31 27 28 25 26 22 23 18 20 15 17 13 14
 11 12 10 10  9 10  9  9]"
2024-08-30 21:39:56.127741,61.12,-10.1391,"[21 19 22 23 19 20 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 18  9 26 23 28 28 27 27
 29 26 41 34 50 46 52 52 50 52 43 47 38 40 35 36 33 34 30 32 29 30 29 29
 30 28 30 31 24 29 23 24 21 22 20 21 20 20 19 19 17 18 14 16 13 13 12 12
 10 11  9 10  9  9  9  9]"
2024-08-30 21:40:14.558639,30.0,-11.0,"[18  8 22 23 19 20 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 18 11 34 27
 42 40 43 44 40 42 36 38 34 35 35 34 42 39 42 42 41 42 39 40 38 38 39 38
 42 41 43 43 41 42 36 39 31 34 26 27 24 25 23 23 23 23 23 23 22 22 21 21
 20 21 18 19 16 17 15 15]"
2024-08-30 21:40:31.254241,1.12,-10.1391,"[18  5 22 23 19 20 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 13 11 19 16
 23 24 31 26 44 38 48 46 47 48 46 46 42 44 40 40 41 39 43 43 43 43 42 43
 39 41 35 37 34 34 32 33 26 30 26 26 24 25 24 24 24 24 24 24 24 24 23 24
 21 22 19 20 17 18 15 16]"
2024-08-30 21:40:48.158834,-30.0,-11.0,"[22 24 22 23 19 20 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 12 10 21 15 27 25 28 28 29 29
 31 30 43 35 55 50 60 58 60 61 58 60 54 57 47 51 41 43 38 39 28 35 28 28
 28 28 28 28 28 28 28 28 27 28 24 25 21 23 20 20 20 20 20 20 18 19 18 18
 18 18 18 18 17 18 23 17]"
2024-08-30 21:41:04.859317,-58.88,-10.1391,"[19 14 22 23 19 20 18 18 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 13  9 17 15 21 19 21 21 19 20 13 14 12 13 11 11 10 10 10 10 15 13 21 18
 27 25 27 28 24 26 20 22 18 19 13 13 12 13 11 12 11 12 10 11  8  9  8  8
  8  8  8  8  9  9  9  9]"
2024-08-30 21:41:38.288742,90,9.0,"[22 22 23 23 20 21 24 22 26 26 25 25 23 24 21 22 21 21 19 20 18 19 17 18
 16 17 15 16 13 14 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 18 16 22 20
 25 24 30 26 39 35 42 41 40 42 39 40 42 40 44 43 49 45 59 54 61 61 59 61
 55 58 51 53 47 49 42 44 38 40 32 33 30 31 26 28 23 25 20 21 17 18 15 16
 13 14 12 12 11 11 10 10]"
2024-08-30 21:41:53.370989,71.69,7.9,"[18  8 22 23 19 20 19 18 22 21 22 22 22 22 20 21 17 18 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 12 11 12 13 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 13  9 23 17 31 28 29 31 30 26 34 33 34 34 36 34 47 40 59 54 62 61 60 62
 55 59 48 52 39 44 28 35 26 28 23 25 20 21 17 18 15 16 13 14 12 12 11 11
 10 11  9 10  9  9  9  9]"
2024-08-30 21:42:08.551020,50.4,7.7873,"[18  9 22 22 19 20 18 18 20 19 22 22 22 22 20 21 17 19 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 21 16 25 24 24 23 31 28 32 32 30 31 34 30 46 40 57 52 60 59 58 60
 54 57 48 51 39 44 33 36 26 30 23 25 19 21 16 17 13 14 12 13 11 11  9 10
  8  9  8  8  9  9  9  9]"
2024-08-30 21:42:23.528721,30.0,9.0,"[24 24 25 26 21 23 24 22 24 25 23 23 23 23 24 23 26 26 24 25 23 24 22 23
 20 21 19 20 16 18 13 15 11 12 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 17 11 20 18
 23 22 28 24 34 31 35 35 32 34 30 30 38 34 41 40 46 42 54 50 56 56 55 56
 51 53 47 49 42 45 38 40 33 35 28 29 26 27 22 24 20 21 17 18 15 16 14 15
 13 14 13 13 12 12 11 11]"
2024-08-30 21:42:38.098103,11.69,7.9,"[19 16 22 23 19 20 23 20 25 26 25 25 23 24 19 21 18 19 17 18 14 15 13 13
 12 13 11 12 10 11 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 16 11
 15 16 17 16 24 21 23 24 21 22 26 21 30 28 34 31 44 40 49 47 48 49 45 47
 44 45 41 43 36 39 33 35 29 32 23 24 21 22 19 20 17 18 16 17 14 15 13 14
 12 13 11 11 10 11 10 10]"
2024-08-30 21:42:53.088091,-9.6,7.7873,"[21 17 24 24 21 22 24 22 27 27 26 26 24 25 19 21 19 19 17 18 15 16 14 14
 14 14 13 14 11 12 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 15 15 15 15 17 15 21 20 21 21 27 22 31 30 35 31 46 41 51 50 51 52 49 50
 45 46 41 43 36 39 32 34 29 31 24 25 21 23 18 20 16 17 15 16 14 14 12 13
 11 12 10 11 10 10  9  9]"
2024-08-30 21:43:08.063026,-30.0,9.0,"[30 31 30 31 24 27 25 24 26 27 27 25 30 29 30 30 30 31 29 30 29 29 28 28
 27 27 25 26 23 24 22 23 20 21 19 20 16 18 15 15 13 14 11 12 10 11 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 15 14 15 15 10 14 10 10 20 17 22 22
 23 22 28 24 35 32 35 35 33 34 33 33 37 35 40 39 44 42 49 47 49 49 47 48
 45 46 41 43 36 38 33 34 27 31 26 27 24 25 22 23 19 20 17 18 16 17 15 15
 14 15 14 14 13 13 13 13]"
2024-08-30 21:43:22.629814,-48.31,7.9,"[22 12 27 28 22 25 25 23 27 28 26 26 25 26 27 25 28 28 27 28 27 27 26 26
 25 25 23 24 20 22 18 19 16 17 14 15 12 13 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 15 10 15 15 10 14 10 10 17 16 17 17
 19 17 29 23 36 33 36 37 35 36 34 34 33 34 34 32 44 38 50 48 49 50 46 47
 44 45 40 42 35 38 31 33 26 29 24 25 21 22 19 20 17 18 15 16 14 15 13 14
 12 13 12 12 11 12 11 11]"
2024-08-30 21:43:37.806965,-69.6,7.7873,"[25 24 26 27 20 23 26 23 28 29 27 28 26 26 26 25 27 27 26 27 26 26 24 25
 23 24 22 23 20 21 17 18 14 16 12 13 12 12 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 17 16 16 17
 18 16 33 23 41 38 41 41 38 40 36 37 35 35 32 32 40 33 48 46 47 48 45 46
 44 45 41 43 37 39 32 34 26 30 24 25 22 23 20 21 17 18 15 16 14 14 13 13
 12 13 11 11 10 10  9  9]"
2024-08-30 21:43:52.791263,-90,9.0,"[29 30 29 30 23 26 25 24 26 27 27 25 30 29 31 30 32 32 31 32 30 31 29 30
 28 28 26 27 25 25 23 24 21 22 19 20 17 18 15 16 13 14 12 13 11 12 10 11
 11 10 11 11 11 11 12 12 12 12 11 11 11 11 11 11 12 12 18 17 17 18 17 18
 22 17 36 28 42 40 41 42 39 40 38 38 41 39 41 41 46 43 53 50 54 54 52 54
 48 51 42 45 39 40 36 38 31 35 30 30 28 29 26 27 23 25 21 22 19 20 17 18
 15 16 13 14 11 12 10 11]"
2024-08-30 21:44:28.051627,71.69,-12.9,"[19  3 22 23 19 21 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 20 14 30 25 40 35 45 44 45 45 41 44
 33 37 28 30 30 28 35 33 34 35 30 32 20 27 20 20 20 20 20 20 30 26 30 30
 29 30 25 27 21 21 22 21 22 22 22 22 22 22 21 21 17 19 14 16 12 13 12 12
 11 12 10 11  9 10  9  9]"
2024-08-30 21:44:43.733403,50.4,-12.7873,"[19  7 22 23 19 21 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 14 10 31 23 41 37 41 41 38 40
 34 36 33 33 39 36 41 41 37 40 33 35 30 31 32 29 39 36 41 41 38 40 33 35
 30 30 24 24 25 24 24 24 21 22 18 20 16 17 14 15 12 13 10 11  9  9  8  8
  8  8  8  8  9  9  9  9]"
2024-08-30 21:45:00.229950,30.0,-14.0,"[19  5 22 23 19 21 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 20 15 35 29
 41 40 41 42 38 40 34 36 29 31 28 28 29 28 28 29 31 28 32 32 32 32 31 31
 30 30 28 29 21 26 21 21 21 21 26 25 30 28 32 31 32 32 31 32 28 30 23 28
 23 23 21 22 19 20 17 18]"
2024-08-30 21:45:15.299418,11.69,-12.9,"[19  3 22 23 19 21 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 19 17 21 21
 22 22 21 21 30 25 33 32 33 33 32 33 36 34 42 39 45 44 46 46 45 45 43 44
 41 42 39 40 37 38 34 35 31 32 26 26 24 25 22 23 19 20 18 18 24 22 25 25
 24 25 19 19 25 24 24 25]"
2024-08-30 21:45:30.481411,-9.6,-12.7873,"[19  6 22 23 19 21 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 18  9 30 24 37 34 42 40 43 43 43 43 45 44 47 47 47 47 45 46 42 44 38 40
 36 37 33 35 30 32 25 30 25 25 24 25 23 23 20 21 18 19 17 17 16 16 15 15
 14 15 12 13 11 12 11 11]"
2024-08-30 21:45:45.456353,-30.0,-14.0,"[22 23 22 23 19 21 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 21 14 33 29 38 37 37 38 35 36
 36 33 49 41 58 54 60 59 60 60 58 59 54 56 49 51 47 48 44 46 39 42 31 37
 30 31 30 30 30 30 30 30 29 30 27 28 26 26 24 25 23 23 22 23 20 21 18 19
 16 17 14 15 13 14 12 12]"
2024-08-30 21:46:00.032691,-48.31,-12.9,"[19  9 22 23 19 21 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 16 11 20 18 20 21 20 20 18 19 17 17 16 16 11 10 11 11 16 11
 23 20 26 26 26 26 25 25 22 24 19 21 14 14 13 14 12 13 11 11 10 10  9 10
  8  9  8  8  9  9  9  9]"
2024-08-30 21:46:15.021518,-69.6,-12.7873,"[19  9 22 23 19 21 19 19 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 18 16 17 18 14 16 13 14 12 13 11 11 10 10 10 10  9 10 14  9
 22 15 35 29 38 37 36 37 31 34 25 28 20 22 15 18 13 14 12 13 12 12 12 12
 12 12 11 12 10 11  9 10]"
2024-08-30 21:46:49.355103,90,12.0,"[21 19 22 23 19 21 21 21 21 20 22 22 22 22 19 20 17 19 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 17 14 18 16
 28 22 44 36 53 49 52 53 49 51 46 48 41 43 39 39 46 39 59 52 62 61 61 62
 57 59 53 55 47 50 40 44 32 37 31 32 29 30 27 28 25 26 21 23 18 20 16 17
 14 15 12 13 11 11 10 10]"
2024-08-30 21:47:04.319382,76.7,10.7894,"[21 21 22 23 19 21 22 20 25 24 25 25 24 25 23 23 22 22 21 21 20 20 18 19
 16 17 15 15 13 14 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 14  9 17 16 20 19 22 22
 27 23 41 33 48 45 48 48 47 47 46 46 45 45 45 45 51 45 62 57 65 64 63 64
 58 61 52 55 45 48 41 43 34 38 33 33 31 32 28 29 24 26 20 22 17 19 15 16
 13 14 11 12 10 11  9 10]"
2024-08-30 21:47:18.687312,61.12,10.2782,"[25 25 25 25 22 23 24 23 25 25 25 25 25 25 25 25 25 25 25 25 24 25 23 24
 21 22 19 20 18 19 16 17 13 14 10 11 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 15 10 19 17 22 21 24 23 28 26
 30 29 42 33 50 46 51 51 50 51 48 49 47 48 48 48 53 47 62 58 65 64 62 64
 57 60 50 53 45 47 41 43 35 39 33 34 31 32 27 29 23 25 20 21 17 18 15 16
 13 14 12 12 11 12 11 11]"
2024-08-30 21:47:33.052526,45.21,10.5686,"[22 23 22 23 19 21 22 20 25 24 26 26 25 25 24 24 22 23 21 22 21 21 19 20
 16 18 14 15 13 14 12 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 14 10 16 14 19 18 22 21 27 25
 30 28 43 34 52 48 53 53 52 53 50 51 48 49 48 48 53 47 64 59 66 66 64 65
 58 61 52 55 45 48 40 42 35 38 33 34 30 32 27 29 24 25 20 22 18 19 15 17
 14 15 13 13 11 12 10 11]"
2024-08-30 21:47:47.221443,30.0,12.0,"[21 19 22 23 22 22 26 25 27 27 26 26 26 26 25 26 23 24 22 22 20 21 18 19
 16 17 14 15 12 13 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 13 10 18 16 18 19 22 20 25 23
 34 27 49 42 58 55 59 59 57 58 55 56 53 54 51 52 57 51 66 62 69 68 67 68
 62 65 58 60 53 55 47 50 42 44 37 38 34 35 29 31 25 27 21 22 18 19 15 16
 13 14 11 12 10 11  9 10]"
2024-08-30 21:48:01.183585,16.7,10.7894,"[22 22 22 23 19 21 19 19 20 19 23 22 23 23 21 22 19 20 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 19 14 24 22
 28 25 44 34 54 50 56 56 54 55 52 53 49 50 48 48 54 47 66 61 68 67 66 67
 61 64 56 58 50 53 41 46 33 37 29 31 24 26 20 22 17 18 14 16 13 14 11 12
 11 11 10 10 10 10 10 10]"
2024-08-30 21:48:16.555513,1.12,10.2783,"[22 22 22 23 19 21 20 19 23 21 25 25 25 25 23 24 21 22 19 20 17 18 14 16
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 13  9 18 16 22 20 26 25
 27 27 38 30 49 44 51 51 50 51 47 48 46 47 46 46 52 45 64 59 66 65 64 65
 59 62 53 56 46 50 41 44 34 39 32 33 28 30 24 26 20 22 18 19 16 17 14 15
 12 13 10 11  9 10  9  9]"
2024-08-30 21:48:30.923401,-14.79,10.5686,"[20 18 22 23 19 21 19 19 20 19 22 22 22 22 21 21 18 20 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 17 14 21 20
 24 21 37 28 49 43 51 51 50 51 47 49 46 46 44 45 52 44 64 59 66 66 64 66
 60 63 55 58 49 52 42 45 34 38 30 32 26 28 23 25 20 21 17 19 15 16 13 14
 12 12 10 11  9 10  9  9]"
2024-08-30 21:48:45.098709,-30.0,12.0,"[19  8 22 23 24 23 28 27 28 28 27 27 27 27 27 27 25 26 23 24 21 22 20 20
 18 19 16 17 14 15 11 12 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 18  9 34 24 45 40 47 46 46 47 43 44 41 42 41 40 49 41 61 56 64 63 62 63
 58 60 53 55 48 51 42 45 37 39 32 33 29 31 26 27 22 24 18 20 16 17 14 15
 13 13 13 13 13 13 12 13]"
2024-08-30 21:48:59.067998,-43.3,10.7894,"[20 17 22 23 20 21 22 22 21 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 13  9 28 18 41 35 44 43 43 44 42 42 40 41 40 39 49 40 62 56 64 64 63 64
 59 61 54 56 48 51 42 45 35 39 29 31 25 27 21 23 19 20 16 17 14 15 13 14
 12 12 10 11  9 10  9  9]"
2024-08-30 21:49:13.432801,-58.88,10.2782,"[20 18 22 22 19 21 20 19 24 22 25 25 24 24 23 23 20 21 19 20 16 17 14 15
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 14 11
 16 15 25 19 36 31 39 38 37 38 35 36 39 37 39 39 48 40 60 55 63 62 61 62
 56 59 51 54 44 47 39 42 34 36 29 30 25 27 22 24 19 21 16 18 14 15 12 13
 10 11  9  9  9  9  9  9]"
