Measure Time,Commanded trajectory,Real trajectory,Curve
2024-09-02 00:00:26.105649,"(1.12, 2.5696)","(1160, 2802)","[21  6 24 24 24 24 25 25 22 24 22 22 22 22 20 22 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 17 14 26 22 29 28 29 30 27 28 36 31 44 41 45 45 42 44 35 38 30 33
 26 29 23 25 19 20 18 19 16 17 16 16 16 16 16 16 16 16 15 16 14 14 12 13
 11 12  9 10  9  9  9  9]"
2024-09-02 00:00:42.500726,"(-30.0, 3.0)","(820, 2797)","[21 12 24 24 24 24 22 24 20 19 23 22 23 23 21 22 17 18 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 21 16 26 24 26 27 31 27 40 36 44 42 45 45 44 44 43 43 41 42
 37 40 34 35 33 34 32 33 28 31 23 23 23 23 23 23 21 22 19 20 17 18 15 16
 13 14 11 12 11 11 11 11]"
2024-09-02 00:00:58.707350,"(-58.88, 2.5696)","(412, 2800)","[21 12 23 23 24 24 24 24 22 23 23 22 24 24 21 23 18 18 17 17 15 16 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 16 13 18 17 23 21 24 25 22 24 20 21 26 20 38 34 43 41 45 44 45 45
 42 44 37 40 34 35 32 33 27 30 21 22 20 20 18 19 17 18 15 16 14 14 13 13
 11 12 10 11 10 10  9  9]"
2024-09-02 00:01:15.121487,"(-90, 3.0)","(2, 2797)","[21 14 23 23 24 24 24 24 22 22 22 22 21 22 19 20 19 19 18 19 16 17 13 14
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 18 14 21 20 20 21
 28 19 41 35 47 45 48 48 47 47 42 45 38 40 35 36 36 33 47 40 52 50 51 52
 46 49 41 43 36 38 28 34 26 27 23 24 19 21 17 18 15 16 13 14 11 12 10 11
 10 10  9  9  9  9  9  9]"
2024-09-02 00:01:48.271091,"(61.12, -7.569599999999999)","(1711, 2911)","[21  3 23 23 24 23 23 24 22 21 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 15  9 18 17 26 22 29 28 28 29 24 26 21 22 21 21 19 21 20 19 28 24 33 32
 33 33 33 32 33 33 33 33 31 32 27 29 19 24 18 18 20 17 21 22 17 17 17 17
 16 16 14 15 12 13 11 12]"
2024-09-02 00:02:04.666553,"(30.0, -8.0)","(1440, 2914)","[21  8 23 23 23 23 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 22 18 21 22 25 20 35 30 38 37 41 39 42 42 42 42 42 42 44 43
 44 44 42 43 38 40 33 36 28 30 24 24 23 24 21 22 21 20 21 21 21 21 21 21
 20 20 19 19 16 18 15 15]"
2024-09-02 00:02:20.865295,"(1.12, -7.569599999999999)","(1160, 2910)","[21 17 23 23 23 23 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 19 14 33 27 42 39 48 45 50 49 49 50 45 48 40 43 40 39 47 44
 49 49 48 49 44 46 38 41 33 36 27 27 27 27 27 27 26 26 25 25 24 24 24 24
 24 24 24 24 23 24 23 23]"
2024-09-02 00:02:37.260283,"(-30.0, -8.0)","(819, 2913)","[21 11 23 23 23 23 22 24 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 17 15 16 17 13 14 10  9 11 11 15 11
 17 15 20 18 20 20 18 19 23 17 33 28 37 35 36 37 33 35 30 31 30 29 37 34
 40 40 38 39 32 35 28 30 21 26 20 21 18 19 15 16 12 13 11 11 10 10  9  9
  8  9  8  8  9  9  9  9]"
2024-09-02 00:02:53.463087,"(-58.88, -7.569599999999999)","(411, 2909)","[21  8 23 23 23 23 22 23 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 23 20 24 24 22 23 20 21 13 14 12 13 11 11 22 10 35 30 42 39 42 42
 42 42 40 41 36 38 29 32 24 26 19 20 17 18 14 15 12 12 10 11  8  9  7  8
  7  7  8  7  9  9  9  9]"
2024-09-02 00:03:26.392727,"(90, 4.5)","(1985, 2785)","[21  7 23 23 23 23 22 23 20 19 22 22 21 22 18 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 16  9 25 21 27 26 28 27 29 30 28 29 28 28 27 27 32 26 43 38 45 45 42 44
 38 40 33 36 29 31 21 26 21 21 20 21 18 19 16 17 15 15 14 14 12 13 11 12
 10 10  9  9  9  9  9  9]"
2024-09-02 00:03:40.967663,"(71.69, 3.95)","(1806, 2789)","[21  6 23 23 23 23 22 23 20 19 23 22 23 23 20 21 18 18 16 17 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 18 13 22 21 24 22 30 27 31 31 29 30 26 27 29 25 36 33 36 37 34 35
 32 33 31 32 29 30 24 27 18 22 17 18 15 16 12 13 11 12 10 11  9  9  8  8
  8  8  8  8  9  9  9  9]"
2024-09-02 00:03:56.149152,"(50.4, 3.8937)","(1619, 2789)","[21  9 23 23 23 23 22 23 20 19 23 22 22 23 19 21 17 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 16 13 20 18 27 23 33 31 34 34 31 32 30 29 33 31 33 34 29 31 28 29
 27 28 26 26 25 26 22 24 17 20 15 16 14 14 12 13 11 12 10 11  9 10  9  9
  8  8  8  8  9  9  9  9]"
2024-09-02 00:04:11.128909,"(30.0, 4.5)","(1441, 2784)","[21 10 23 23 23 23 22 23 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 13  9 17 15 19 18 26 23 31 29 32 32 31 31 35 32 38 38 36 37 34 35 34 34
 32 34 30 31 27 29 20 25 18 19 16 17 14 15 13 13 11 12 10 11  8  9  7  8
  7  7  8  7  9  9  9  9]"
2024-09-02 00:04:25.701400,"(11.69, 3.95)","(1286, 2788)","[20  9 23 23 23 23 22 23 21 20 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9 16 14 19 18 19 19 25 20 29 28 30 29 40 36 43 43 42 43 36 39 34 35
 30 32 27 28 25 26 19 24 18 19 17 18 17 17 16 16 15 16 14 14 12 13 11 11
 10 10  9  9  9  9  9  9]"
